,aflow_bg,aflow_bg_fit,aflow_sg_orig,aflow_sg_relax,aflow_icsd
167,1.3533,2.73725,218.0,218.0,
168,,,,,28900.0
169,,,,,23685.0
170,0.2001,1.1827299999999998,225.0,225.0,
171,2.2197,3.90516,139.0,139.0,24248.0
172,,,,,422.0
173,0.0,0.0,164.0,164.0,
174,3.9035,6.174919999999999,62.0,62.0,91282.0
175,,,,,41409.0
176,5.8494,8.797989999999999,167.0,167.0,
177,,,,,31653.0
178,3.3854,5.47652,225.0,225.0,
179,,,,,
180,0.0,0.0,216.0,216.0,41675.0
181,8.9097,12.9233,15.0,15.0,65786.0
182,,,,,29012.0
183,,,,,23638.0
184,,,,,56012.0
185,,,,,41527.0
186,,,,,
187,0.0323,0.95654,166.0,166.0,2084.0
188,,,,,151764.0
189,1.2703,2.6253599999999997,218.0,218.0,43518.0
190,0.9299,2.1665099999999997,180.0,180.0,16836.0
191,1.2118,2.54651,62.0,62.0,14124.0
192,,,,,34050.0
193,2.6523,4.4883,167.0,167.0,27431.0
194,,,,,43028.0
195,,,,,42620.0
196,,,,,394.0
197,1.9486,3.53971,225.0,225.0,43655.0
198,4.4696,6.93802,225.0,225.0,9863.0
199,2.0514,3.67829,225.0,225.0,
200,,,,,28066.0
201,0.5935,1.7130400000000001,62.0,62.0,66531.0
202,1.3785,2.77122,218.0,218.0,
203,,,,,30443.0
204,1.4666,2.88998,189.0,189.0,43406.0
205,0.3294,1.35703,88.0,88.0,
206,2.7703,4.64736,225.0,225.0,28903.0
207,0.1509,1.1164100000000001,204.0,204.0,34048.0
208,7.3099,10.7667,129.0,129.0,
209,4.4339,6.8899,225.0,225.0,
210,1.0592,2.3408,9.0,9.0,35028.0
211,2.0909,3.7315300000000002,225.0,225.0,26961.0
212,0.3378,1.36835,189.0,189.0,26261.0
213,1.86,3.4202800000000004,166.0,166.0,71065.0
214,,,,,648207.0
215,0.2331,1.22722,225.0,225.0,104864.0
216,1.5716,3.03152,218.0,218.0,
217,,,,,25705.0
218,,,,,
219,,,,,
220,,,,,77676.0
221,1.7069999999999999,3.2140400000000002,62.0,62.0,
222,,,,,72821.0
223,0.0498,0.98013,225.0,225.0,106594.0
224,0.4636,1.53793,58.0,58.0,992.0
225,2.0765,3.7121199999999996,225.0,225.0,41957.0
226,,,,,8276.0
227,4.0078,6.31551,199.0,206.0,33659.0
228,1.1517,2.46549,160.0,160.0,38401.0
229,,,,,15328.0
230,,,,,32592.0
231,,,,,
232,2.8151,4.70775,62.0,62.0,
233,2.8047,4.69374,62.0,62.0,417155.0
234,0.7627,1.9411200000000002,62.0,62.0,15126.0
235,1.2475,2.59463,216.0,216.0,29050.0
236,2.1518,3.8136300000000003,225.0,225.0,30240.0
237,0.4713,1.54831,62.0,62.0,1435.0
238,,,,,
239,1.5374,2.98542,225.0,225.0,41958.0
240,1.7380000000000002,3.25582,58.0,58.0,42726.0
241,0.7331,1.9012200000000001,14.0,14.0,43505.0
242,2.6691,4.51095,216.0,216.0,
243,1.6282,3.1078099999999997,216.0,216.0,24490.0
244,0.1816,1.1578,189.0,189.0,73178.0
245,1.5128,2.95225,206.0,206.0,23522.0
246,,,,,15983.0
247,,,,,
248,1.1649,2.48329,225.0,225.0,41567.0
249,0.8912,2.1143400000000003,187.0,187.0,71082.0
250,,,,,24074.0
251,,,,,
252,3.8947,6.16306,14.0,14.0,27588.0
253,2.2174,3.9020599999999996,12.0,12.0,
254,1.3207,2.6933,166.0,166.0,
255,,,,,
256,0.4774,1.55654,194.0,194.0,26884.0
257,1.5681,3.0268,8.0,8.0,162878.0
258,,,,,26858.0
259,1.0335,2.3061599999999998,194.0,194.0,
260,4.4559,6.91955,216.0,216.0,
261,,,,,35088.0
262,2.384,4.1266300000000005,225.0,225.0,28902.0
263,,,,,25621.0
264,3.3056,5.36895,216.0,216.0,
265,,,,,1422.0
266,3.8153,6.056019999999999,11.0,11.0,18107.0
267,0.9794,2.23323,64.0,64.0,23408.0
268,,,,,21045.0
269,,,,,
270,0.7490000000000001,1.92265,140.0,140.0,
271,1.6104,3.0838200000000002,139.0,139.0,56160.0
272,,,,,34291.0
273,,,,,94282.0
274,2.1407,3.79866,225.0,225.0,60441.0
275,,,,,
276,,,,,61270.0
277,2.6778,4.52267,14.0,14.0,28331.0
278,,,,,24222.0
279,6.8509,10.148,216.0,216.0,163820.0
280,,,,,33674.0
281,5.277,8.0264,225.0,225.0,44288.0
282,1.4523,2.8707,19.0,19.0,
283,8.155,11.9059,225.0,225.0,26957.0
284,,,,,
285,,,,,14122.0
286,,,,,63272.0
287,,,,,
288,,,,,40752.0
289,,,,,
290,,,,,31122.0
291,,,,,24188.0
292,,,,,31657.0
293,,,,,42461.0
294,4.2273,6.6114,61.0,61.0,71354.0
295,,,,,43227.0
296,0.0977,1.0447,11.0,11.0,357.0
297,,,,,9169.0
298,,,,,67609.0
299,,,,,
300,,,,,16142.0
301,0.0747,1.0137,225.0,225.0,
302,,,,,
303,0.8634,2.07686,205.0,205.0,24201.0
304,0.5203,1.61436,221.0,221.0,25675.0
305,5.3128,8.07465,60.0,60.0,161061.0
306,1.0551,2.33527,194.0,194.0,
307,,,,,23640.0
308,,,,,411857.0
309,1.7634,3.29006,225.0,225.0,
310,4.9042,7.523860000000001,225.0,225.0,22402.0
311,3.7555,5.97541,164.0,164.0,56166.0
312,,,,,57149.0
313,3.1773,5.196000000000001,176.0,176.0,41950.0
314,,,,,163383.0
315,,,,,
316,,,,,1944.0
317,,,,,41724.0
318,1.2768,2.63413,205.0,205.0,24186.0
319,,,,,61179.0
320,,,,,43436.0
321,,,,,16674.0
322,,,,,
323,0.6705,1.81683,194.0,194.0,73174.0
324,0.6969,1.8524200000000002,225.0,225.0,
325,,,,,156336.0
326,,,,,109291.0
327,,,,,65184.0
328,,,,,
329,0.6543,1.795,62.0,62.0,77994.0
330,,,,,
331,,,,,37413.0
332,,,,,
333,,,,,26844.0
334,,,,,30337.0
335,,,,,26170.0
336,,,,,2033.0
337,0.4732,1.55087,62.0,62.0,157612.0
338,,,,,
339,,,,,
340,0.3421,1.37415,140.0,140.0,75555.0
341,0.7661,1.9457,62.0,62.0,16680.0
342,,,,,
343,1.5011,2.93648,216.0,216.0,67784.0
344,,,,,16611.0
345,,,,,104196.0
346,4.0171,6.32805,227.0,227.0,2114.0
347,0.3985,1.45018,225.0,225.0,38294.0
348,,,,,38222.0
349,,,,,24376.0
350,3.424,5.52855,64.0,64.0,15672.0
351,1.4632,2.88539,11.0,11.0,72292.0
352,0.076,1.01545,59.0,59.0,1256.0
353,,,,,
354,2.3008,4.014480000000001,72.0,72.0,
355,0.9839,2.2393,191.0,191.0,34280.0
356,4.8302,7.424110000000001,33.0,33.0,84375.0
357,,,,,2499.0
358,0.0,0.0,12.0,12.0,
359,2.9754,4.92384,225.0,225.0,60433.0
360,3.5263,5.66645,206.0,206.0,
361,,,,,430.0
362,1.419,2.8258099999999997,205.0,205.0,36151.0
363,,,,,993.0
364,1.7551,3.2788699999999995,189.0,189.0,
365,1.2203,2.55796,194.0,194.0,63201.0
366,3.929,6.20929,206.0,206.0,27994.0
367,1.9195,3.50049,225.0,225.0,60435.0
368,0.8878,2.10975,87.0,87.0,1085.0
369,,,,,89667.0
370,,,,,
371,1.2419,2.58708,194.0,194.0,43407.0
372,1.1561,2.47142,15.0,15.0,43276.0
373,1.2522,2.6009700000000002,33.0,33.0,23620.0
374,,,,,15390.0
375,,,,,
376,,,,,16676.0
377,1.746,3.26661,33.0,33.0,16140.0
378,,,,,
379,0.8904,2.11326,58.0,58.0,995.0
380,,,,,160227.0
381,4.1158,6.4611,12.0,12.0,419435.0
382,1.1883,2.51483,216.0,216.0,29278.0
383,,,,,26960.0
384,0.259,1.26213,205.0,205.0,
385,,,,,
386,,,,,15692.0
387,1.6437,3.12871,216.0,216.0,41676.0
388,1.6755,3.17157,194.0,194.0,59.0
389,,,,,14324.0
390,0.0,0.0,205.0,205.0,24156.0
391,1.6031,3.0739799999999997,206.0,206.0,26875.0
392,0.3029,1.32131,62.0,62.0,25595.0
393,2.4966,4.27842,225.0,225.0,60434.0
394,,,,,41674.0
395,7.432,10.9313,186.0,186.0,15620.0
396,,,,,27019.0
397,,,,,26541.0
398,,,,,
399,,,,,
400,3.7283,5.93875,205.0,205.0,35479.0
401,,,,,
402,0.7816,1.9666,221.0,221.0,616162.0
403,1.1052,2.4028099999999997,205.0,205.0,30390.0
404,3.6357,5.8139199999999995,225.0,225.0,26959.0
405,0.369,1.41041,225.0,225.0,56037.0
406,1.2272,2.56727,216.0,216.0,24804.0
407,,,,,618815.0
408,,,,,10365.0
409,0.7442,1.91618,205.0,205.0,94241.0
410,0.1971,1.17869,164.0,164.0,2142.0
411,,,,,23842.0
412,,,,,
413,,,,,16394.0
414,5.2169,7.94538,186.0,186.0,41486.0
415,,,,,9161.0
416,3.6387,5.81797,12.0,12.0,34675.0
417,,,,,58427.0
418,0.0,0.0,13.0,13.0,
419,2.3264,4.04899,64.0,64.0,25527.0
420,0.6409999999999999,1.7770700000000001,216.0,216.0,
421,,,,,
422,,,,,997.0
423,,,,,24249.0
424,,,,,16794.0
425,,,,,30242.0
426,3.1072,5.10151,205.0,205.0,30814.0
427,,,,,62897.0
428,7.1316,10.5264,225.0,225.0,28730.0
429,,,,,2647.0
430,,,,,28901.0
431,3.6295,5.8055699999999995,164.0,164.0,28180.0
432,,,,,
433,2.0595,3.6892099999999997,225.0,225.0,60437.0
434,2.8109,4.70209,204.0,204.0,29047.0
435,0.0,0.0,12.0,12.0,
436,,,,,23724.0
437,0.3381,1.36876,9.0,9.0,42015.0
438,,,,,22176.0
439,1.2194,2.55675,194.0,194.0,24000.0
440,2.5639,4.36914,167.0,167.0,26974.0
441,0.5997,1.7214,62.0,62.0,80568.0
442,,,,,308.0
443,2.8947,4.81506,220.0,220.0,83263.0
444,0.6138,1.7404,225.0,225.0,
445,,,,,
446,,,,,15983.0
447,,,,,74897.0
448,,,,,20208.0
449,,,,,59161.0
450,,,,,63306.0
451,,,,,24194.0
452,,,,,
453,,,,,78486.0
454,,,,,58583.0
455,,,,,9685.0
456,,,,,79801.0
457,,,,,24494.0
458,,,,,16413.0
459,,,,,80132.0
460,,,,,35580.0
461,,,,,180175.0
462,,,,,
463,,,,,15150.0
464,,,,,79761.0
465,,,,,108778.0
466,,,,,98642.0
467,1.5193,2.96102,15.0,15.0,
468,,,,,72318.0
469,,,,,
470,,,,,22189.0
471,,,,,
472,,,,,9265.0
473,,,,,20773.0
474,,,,,61496.0
475,,,,,
476,,,,,15144.0
477,,,,,413655.0
478,,,,,
479,,,,,
480,,,,,20581.0
481,,,,,249043.0
482,,,,,27965.0
483,1.8123,3.35598,164.0,164.0,35361.0
484,,,,,153082.0
485,,,,,68604.0
486,,,,,104191.0
487,,,,,10162.0
488,,,,,21083.0
489,,,,,1633.0
490,1.4409999999999998,2.85547,82.0,82.0,25638.0
491,,,,,246498.0
492,,,,,29407.0
493,,,,,160835.0
494,,,,,
495,,,,,41415.0
496,,,,,16713.0
497,,,,,25510.0
498,,,,,74903.0
499,,,,,60311.0
500,,,,,413653.0
501,,,,,37324.0
502,,,,,
503,,,,,22187.0
504,,,,,1854.0
505,3.1642,5.17834,36.0,36.0,
506,,,,,31080.0
507,,,,,24473.0
508,,,,,26466.0
509,2.015,3.6292199999999997,194.0,194.0,31368.0
510,,,,,43272.0
511,,,,,74904.0
512,,,,,59364.0
513,,,,,
514,,,,,9089.0
515,1.0707,2.3563,60.0,60.0,77772.0
516,,,,,9925.0
517,1.8345,3.38591,221.0,221.0,28588.0
518,,,,,76496.0
519,3.6739,5.865419999999999,205.0,205.0,
520,,,,,66554.0
521,4.1865,6.5564,15.0,15.0,20422.0
522,,,,,37126.0
523,,,,,
524,,,,,
525,2.0462,3.6712800000000003,82.0,82.0,25637.0
526,,,,,
527,,,,,
528,,,,,27049.0
529,,,,,16917.0
530,,,,,59911.0
531,0.4342,1.4983,214.0,214.0,15734.0
532,,,,,31783.0
533,,,,,
534,2.8768,4.79093,62.0,62.0,
535,,,,,30409.0
536,,,,,27762.0
537,,,,,418887.0
538,,,,,
539,,,,,24205.0
540,,,,,62318.0
541,,,,,161818.0
542,,,,,32515.0
543,,,,,16231.0
544,,,,,
545,,,,,31870.0
546,,,,,109329.0
547,,,,,
548,,,,,16329.0
549,,,,,
550,,,,,416448.0
551,,,,,67372.0
552,,,,,
553,,,,,
554,,,,,245842.0
555,,,,,72998.0
556,,,,,26891.0
557,4.9367,7.56767,36.0,36.0,20172.0
558,,,,,
559,,,,,16380.0
560,,,,,40984.0
561,2.3291,4.052630000000001,152.0,152.0,
562,,,,,23634.0
563,,,,,23743.0
564,,,,,23196.0
565,1.1106,2.4100900000000003,2.0,2.0,61220.0
566,2.8613,4.77003,74.0,74.0,
567,,,,,172356.0
568,,,,,12101.0
569,,,,,642718.0
570,,,,,27046.0
571,,,,,163815.0
572,,,,,31679.0
573,,,,,82963.0
574,,,,,24208.0
575,,,,,
576,,,,,4416.0
577,,,,,79557.0
578,,,,,28003.0
579,,,,,20294.0
580,,,,,27115.0
581,,,,,
582,3.1634,5.1772599999999995,14.0,14.0,
583,,,,,24193.0
584,,,,,2105.0
585,,,,,
586,,,,,27114.0
587,,,,,164623.0
588,,,,,39630.0
589,,,,,
590,,,,,
591,,,,,240414.0
592,,,,,
593,,,,,240888.0
594,,,,,2625.0
595,,,,,15966.0
596,,,,,
597,,,,,23301.0
598,,,,,28676.0
599,,,,,4029.0
600,,,,,30282.0
601,,,,,9907.0
602,,,,,23815.0
603,,,,,40296.0
604,,,,,57207.0
605,,,,,15073.0
606,,,,,162919.0
607,1.7656,3.2930300000000003,227.0,227.0,159739.0
608,,,,,20262.0
609,,,,,90440.0
610,,,,,28949.0
611,,,,,
612,,,,,165840.0
613,,,,,
614,,,,,
615,,,,,16916.0
616,,,,,
617,,,,,65413.0
618,,,,,33933.0
619,,,,,158736.0
620,,,,,15463.0
621,,,,,20344.0
622,,,,,14197.0
623,,,,,16784.0
624,,,,,66096.0
625,,,,,1624.0
626,,,,,6166.0
627,,,,,27003.0
628,,,,,30349.0
629,,,,,150876.0
630,,,,,32713.0
631,,,,,2085.0
632,,,,,16919.0
633,,,,,74678.0
634,,,,,
635,,,,,42397.0
636,,,,,22354.0
637,,,,,
638,,,,,21032.0
639,,,,,36405.0
640,,,,,154793.0
641,,,,,67110.0
642,,,,,647382.0
643,2.7886,4.67203,164.0,164.0,95192.0
644,,,,,
645,,,,,1894.0
646,,,,,79587.0
647,,,,,62162.0
648,,,,,26890.0
649,,,,,84000.0
650,,,,,27119.0
651,,,,,420733.0
652,,,,,22184.0
653,,,,,23527.0
654,3.2251,5.26043,227.0,227.0,162004.0
655,,,,,20345.0
656,,,,,30250.0
657,,,,,39673.0
658,,,,,20075.0
659,,,,,71101.0
660,,,,,
661,,,,,
662,,,,,2597.0
663,,,,,16568.0
664,,,,,14282.0
665,,,,,60847.0
666,,,,,68465.0
667,,,,,40345.0
668,,,,,201253.0
669,,,,,1585.0
670,,,,,
671,,,,,9537.0
672,,,,,27058.0
673,0.6935,1.8478400000000001,122.0,122.0,22186.0
674,2.3613,4.096030000000001,57.0,57.0,
675,,,,,23501.0
676,,,,,82962.0
677,2.1991,3.87739,142.0,142.0,
678,,,,,27896.0
679,2.4243,4.18096,15.0,15.0,
680,0.2745,1.28303,61.0,61.0,
681,,,,,
682,,,,,33587.0
683,,,,,
684,,,,,164621.0
685,,,,,10057.0
686,3.4318,5.53907,161.0,161.0,28294.0
687,,,,,171183.0
688,,,,,79753.0
689,,,,,
690,,,,,
691,1.4329,2.84455,194.0,194.0,29282.0
692,2.0003,3.6094,166.0,166.0,25593.0
693,,,,,202458.0
694,,,,,109184.0
695,,,,,40333.0
696,,,,,1414.0
697,,,,,
698,,,,,
699,2.7097,4.56568,14.0,14.0,280603.0
700,,,,,55285.0
701,1.4142,2.81934,82.0,82.0,2287.0
702,,,,,40917.0
703,,,,,170269.0
704,,,,,
705,,,,,16243.0
706,,,,,2817.0
707,,,,,16172.0
708,,,,,
709,,,,,83027.0
710,,,,,69349.0
711,1.3191,2.69115,227.0,227.0,
712,,,,,20141.0
713,,,,,411231.0
714,,,,,69853.0
715,,,,,
716,,,,,16892.0
717,,,,,15195.0
718,,,,,16845.0
719,,,,,16737.0
720,,,,,79751.0
721,,,,,27048.0
722,,,,,92467.0
723,,,,,28738.0
724,3.0076,4.96724,150.0,150.0,
725,,,,,14307.0
726,,,,,
727,,,,,18110.0
728,,,,,980.0
729,,,,,66516.0
730,,,,,187.0
731,,,,,38344.0
732,2.6969,4.54842,64.0,64.0,
733,,,,,16925.0
734,,,,,82961.0
735,,,,,634534.0
736,,,,,34645.0
737,,,,,
738,,,,,10124.0
739,,,,,1086.0
740,2.2708,3.97404,166.0,166.0,74076.0
741,,,,,
742,,,,,9369.0
743,,,,,16005.0
744,,,,,56836.0
745,1.6572,3.1469099999999997,194.0,194.0,451.0
746,,,,,
747,,,,,
748,,,,,16564.0
749,,,,,2282.0
750,,,,,27229.0
751,1.3773,2.7696,31.0,31.0,24530.0
752,,,,,55691.0
753,,,,,2356.0
754,1.6976,3.2013599999999998,205.0,205.0,61144.0
755,,,,,78483.0
756,,,,,
757,,,,,
758,,,,,
759,,,,,72521.0
760,,,,,
761,,,,,79747.0
762,,,,,10191.0
763,,,,,66978.0
764,,,,,280318.0
765,,,,,
766,,,,,
767,,,,,2081.0
768,,,,,38271.0
769,,,,,23924.0
770,,,,,15095.0
771,,,,,93352.0
772,,,,,33256.0
773,,,,,26435.0
774,,,,,2644.0
775,,,,,16987.0
776,,,,,15670.0
777,,,,,68324.0
778,0.8817,2.10153,63.0,63.0,63588.0
779,,,,,163901.0
780,,,,,16688.0
781,,,,,154794.0
782,,,,,105304.0
783,,,,,25723.0
784,,,,,26267.0
785,,,,,
786,,,,,67818.0
787,,,,,73956.0
788,,,,,951.0
789,,,,,26871.0
790,,,,,16651.0
791,,,,,
792,,,,,21084.0
793,,,,,
794,,,,,23455.0
795,,,,,20748.0
796,,,,,66823.0
797,,,,,108406.0
798,,,,,24195.0
799,,,,,40923.0
800,,,,,62960.0
801,,,,,35706.0
802,,,,,27440.0
803,,,,,78562.0
804,,,,,30881.0
805,,,,,26315.0
806,,,,,26677.0
807,,,,,44521.0
808,,,,,16629.0
809,,,,,14155.0
810,,,,,
811,1.7737,3.30395,227.0,227.0,22411.0
812,,,,,94893.0
813,,,,,35494.0
814,,,,,41703.0
815,,,,,63705.0
816,,,,,1032.0
817,,,,,28617.0
818,,,,,60078.0
819,0.0803,1.02124,216.0,216.0,81213.0
820,,,,,22179.0
821,,,,,963.0
822,,,,,24797.0
823,,,,,
824,2.5331,4.32762,36.0,36.0,34793.0
825,,,,,2373.0
826,,,,,72865.0
827,,,,,14000.0
828,,,,,15476.0
829,,,,,16648.0
830,,,,,
831,,,,,
832,,,,,26233.0
833,,,,,
834,,,,,
835,,,,,
836,,,,,39232.0
837,0.6989,1.85512,139.0,139.0,89575.0
838,,,,,16701.0
839,,,,,2362.0
840,,,,,60507.0
841,2.6586,4.49679,55.0,55.0,156194.0
842,,,,,25594.0
843,,,,,40583.0
844,,,,,81851.0
845,2.5660000000000003,4.37197,31.0,31.0,33238.0
846,,,,,
847,,,,,
848,,,,,16001.0
849,,,,,108429.0
850,,,,,35704.0
851,1.7275,3.24167,99.0,99.0,9532.0
852,,,,,153363.0
853,,,,,
854,,,,,
855,,,,,16536.0
856,,,,,163867.0
857,,,,,
858,,,,,
859,,,,,37033.0
860,,,,,20181.0
861,,,,,159454.0
862,,,,,172737.0
863,,,,,
864,,,,,82957.0
865,3.5981,5.763240000000001,205.0,205.0,35495.0
866,,,,,98644.0
867,,,,,75499.0
868,,,,,1956.0
869,,,,,150208.0
870,,,,,14308.0
871,,,,,32589.0
872,1.8633,3.4247300000000003,127.0,127.0,23563.0
873,,,,,20043.0
874,,,,,164027.0
875,,,,,41027.0
876,,,,,92395.0
877,,,,,16923.0
878,,,,,
879,1.4241,2.83269,161.0,161.0,27841.0
880,,,,,84422.0
881,,,,,59160.0
882,,,,,413886.0
883,,,,,
884,,,,,73411.0
885,2.2096,3.89154,82.0,82.0,2286.0
886,,,,,
887,,,,,
888,,,,,34278.0
889,0.8223,2.02146,62.0,62.0,66657.0
890,,,,,9095.0
891,,,,,78011.0
892,2.4071,4.157769999999999,129.0,129.0,67275.0
893,,,,,34025.0
894,0.1038,1.05292,216.0,216.0,
895,,,,,14280.0
896,2.6855,4.53305,161.0,161.0,
897,,,,,27842.0
898,,,,,15157.0
899,,,,,44261.0
900,,,,,1180.0
901,,,,,2827.0
902,,,,,23943.0
903,,,,,2865.0
904,,,,,15388.0
905,,,,,
906,,,,,73765.0
907,,,,,80561.0
908,,,,,27004.0
909,,,,,170270.0
910,,,,,29154.0
911,,,,,
912,,,,,2512.0
913,,,,,16935.0
914,4.4355,6.89205,160.0,160.0,158390.0
915,,,,,37264.0
916,,,,,15411.0
917,,,,,
918,,,,,23420.0
919,,,,,172355.0
920,,,,,
921,,,,,
922,,,,,62161.0
923,,,,,157769.0
924,,,,,
925,,,,,26490.0
926,,,,,
927,,,,,151747.0
928,,,,,409501.0
929,,,,,56255.0
930,,,,,31177.0
931,,,,,60928.0
932,,,,,14360.0
933,,,,,20383.0
934,,,,,15194.0
935,,,,,
936,,,,,18109.0
937,,,,,55689.0
938,,,,,71606.0
