,material_id,full_formula,pretty_formula,LOG ,LOG Prob,DT ,DT Prob,RF ,RF Prob,GB ,GB Prob,MP BG
16284,mp-676250,Bi2Te4Pb1,Bi2Te4Pb,1.0,0.9995517779727657,1.0,1.0,1.0,0.694427128688921,1.0,0.999970806107727,0.5150000000000006
16394,mp-680372,C60,C,1.0,0.9687174912275555,1.0,1.0,1.0,0.68,1.0,0.999970806107727,0.7132000000000001
16471,mp-683919,C140,C,1.0,0.9913433069536944,1.0,1.0,1.0,0.7033333333333333,1.0,0.999970806107727,1.1035
16514,mp-685022,Te4Pb4,TePb,1.0,0.979047801114973,1.0,1.0,1.0,0.6186533191651116,1.0,0.999970806107727,0.7254000000000005
16675,mp-696746,B12C3,B4C,1.0,0.6446876681135203,1.0,1.0,1.0,0.6123979885057471,1.0,0.999970806107727,1.6401000000000003
18002,mp-753304,Hg1,Hg,1.0,0.9999998093539691,1.0,1.0,1.0,0.8178044871794873,1.0,0.999970806107727,0.6321
18445,mp-866375,Ti1Fe2Ge1,TiFe2Ge,1.0,0.9995259004434012,1.0,1.0,1.0,0.8196671473612304,1.0,0.999970806107727,0.1639999999999997
18539,mp-924130,Ti1Ni1Sn1,TiNiSn,1.0,0.6184839172624313,1.0,1.0,1.0,0.5688045394931355,1.0,0.999970806107727,0.4527000000000001
18549,mp-966800,In2P2,InP,1.0,0.9995821688113393,1.0,1.0,1.0,0.8732702755957442,1.0,0.999970806107727,0.5137999999999998
18552,mp-971712,Zn1Cd1S2,ZnCdS2,1.0,0.9832353252602575,1.0,1.0,1.0,0.7892157813843326,1.0,0.999970806107727,1.3685999999999998
18653,mp-981379,Zn3Cd1S4,Zn3CdS4,1.0,0.5595734834496819,1.0,1.0,1.0,0.8359190787945876,1.0,0.999970806107727,1.6798
18688,mp-997618,B1Sb1,BSb,1.0,0.9997940435399145,1.0,1.0,1.0,0.8708388491858038,1.0,0.999970806107727,1.0137
