,material_id,full_formula,pretty_formula,LOG ,LOG Prob,DT ,DT Prob,RF ,RF Prob,GB ,GB Prob
386,mp-2653,B2N2,BN,1.0,0.9912136789590623,1.0,1.0,1.0,0.97,1.0,0.999970806107727
389,mp-2667,Cs1Au1,CsAu,1.0,0.9392889466488539,1.0,0.625,1.0,0.82,1.0,0.999970806107727
391,mp-2691,Cd1Se1,CdSe,1.0,0.993186038032219,1.0,1.0,1.0,0.97,1.0,0.999970806107727
392,mp-2693,Sn1Se1,SnSe,1.0,0.9781547968740476,1.0,0.625,1.0,0.8415789473684211,1.0,0.999970806107727
403,mp-2782,Zn8P16,ZnP2,1.0,0.8631821389040182,1.0,1.0,1.0,0.7048269230769231,1.0,0.999970806107727
438,mp-2961,Mg2Si2P4,MgSiP2,1.0,0.8821011856487788,1.0,1.0,1.0,0.7077435897435898,1.0,0.999970806107727
444,mp-2979,Zn4Ge4N8,ZnGeN2,1.0,0.5801480056335854,1.0,1.0,1.0,0.6325844418739156,1.0,0.8123094275949628
471,mp-3078,Cd2Si2As4,CdSiAs2,1.0,0.9237370382960424,1.0,1.0,1.0,0.7201558704453441,1.0,0.999970806107727
498,mp-3167,Hg2Ge1Se4,Hg2GeSe4,1.0,0.6628500926406541,1.0,1.0,1.0,0.5788170426065163,1.0,0.999970806107727
599,mp-3525,Sb2Te2Se1,Sb2Te2Se,1.0,0.9188402465042379,1.0,1.0,1.0,0.7655000000000001,1.0,0.999970806107727
619,mp-3595,Zn2Si2As4,ZnSiAs2,1.0,0.9772622626514014,1.0,1.0,1.0,0.9580769230769229,1.0,0.999970806107727
639,mp-3668,Cd2Ge2P4,CdGeP2,1.0,0.8750763343093616,1.0,1.0,1.0,0.8302435897435898,1.0,0.999970806107727
667,mp-3772,Cd1Ga2Se4,Cd(GaSe2)2,1.0,0.7589234709842636,1.0,1.0,1.0,0.7386666666666667,1.0,0.999970806107727
685,mp-3829,Cd2Sn2As4,CdSnAs2,1.0,0.9933964672046883,1.0,1.0,1.0,0.97,1.0,0.999970806107727
689,mp-3839,Ga2Cu2Te4,GaCuTe2,1.0,0.9649630233709607,1.0,1.0,1.0,0.8383333333333333,1.0,0.999970806107727
717,mp-3934,Cu6P2S8,Cu3PS4,1.0,0.7924245763934379,1.0,1.0,1.0,0.5565725371120108,1.0,0.999970806107727
743,mp-4008,Zn2Ge2As4,ZnGeAs2,1.0,0.9951912307573318,1.0,1.0,1.0,0.9997435897435898,1.0,0.999970806107727
776,mp-4152,Ga2Co1S4,Ga2CoS4,1.0,0.7685612195309686,1.0,1.0,1.0,0.7184102564102564,1.0,0.999970806107727
786,mp-4175,Zn2Sn2P4,ZnSnP2,1.0,0.9177300436557315,1.0,1.0,1.0,0.8102435897435898,1.0,0.999970806107727
864,mp-4524,Zn2Ge2P4,ZnGeP2,1.0,0.9870306572994476,1.0,1.0,1.0,0.9584935897435898,1.0,0.999970806107727
886,mp-4586,Li2Al2Te4,LiAlTe2,1.0,0.8418553993758057,1.0,1.0,1.0,0.7350833333333334,1.0,0.999970806107727
914,mp-4666,Cd2Si2P4,CdSiP2,1.0,0.8683542193936014,1.0,1.0,1.0,0.8081602564102565,1.0,0.999970806107727
932,mp-4730,Ga2Hg1Se4,Ga2HgSe4,1.0,0.7167075207582646,1.0,1.0,1.0,0.657,1.0,0.999970806107727
945,mp-4763,Zn2Si2P4,ZnSiP2,1.0,0.9445070552041965,1.0,1.0,1.0,0.9134935897435897,1.0,0.999970806107727
968,mp-4840,Ga2Cu2Se4,GaCuSe2,1.0,0.9727013864455399,1.0,1.0,1.0,0.99,1.0,0.999970806107727
982,mp-4899,Ga2Ag2Te4,GaAgTe2,1.0,0.9709769932795088,1.0,1.0,1.0,0.98,1.0,0.999970806107727
993,mp-4953,Cd2Ge2As4,CdGeAs2,1.0,0.9635796499432145,1.0,1.0,1.0,0.8780000000000001,1.0,0.999970806107727
1001,mp-4979,Al2Cu2S4,AlCuS2,1.0,0.9325373882518543,1.0,1.0,1.0,0.8844935897435897,1.0,0.999970806107727
1021,mp-5048,Li2Ga2Te4,LiGaTe2,1.0,0.8906045393593547,1.0,1.0,1.0,0.8068333333333334,1.0,0.999970806107727
1059,mp-5190,Zn2Sn2As4,ZnSnAs2,1.0,0.9649343384050555,1.0,1.0,1.0,0.8463333333333334,1.0,0.999970806107727
1063,mp-5213,Cd2Sn2P4,CdSnP2,1.0,0.9671285756177168,1.0,1.0,1.0,0.9613225371120109,1.0,0.999970806107727
1070,mp-5238,Ga2Cu2S4,GaCuS2,1.0,0.9701844152449454,1.0,0.625,1.0,0.9099935897435897,1.0,0.999970806107727
1094,mp-5342,Ga2Ag2S4,GaAgS2,1.0,0.8221875108638673,1.0,1.0,1.0,0.8684935897435898,1.0,0.999970806107727
1097,mp-5350,Zn1Ga2S4,Zn(GaS2)2,1.0,0.7580734454222318,1.0,1.0,1.0,0.8205769230769229,1.0,0.999970806107727
1146,mp-5518,Ga2Ag2Se4,GaAgSe2,1.0,0.9208038569804805,1.0,1.0,1.0,0.8588333333333334,1.0,0.999970806107727
1202,mp-5782,Al2Ag2S4,AlAgS2,1.0,0.744570718617811,1.0,1.0,1.0,0.6639935897435898,1.0,0.999970806107727
1420,mp-6356,Cd4Ga2Ag2S8,Cd2GaAgS4,1.0,0.8068120027106163,1.0,1.0,1.0,0.8034166666666667,1.0,0.999970806107727
1442,mp-6408,Zn1Cu2Ge1S4,ZnCu2GeS4,1.0,0.9438141588799593,1.0,1.0,1.0,0.9159935897435898,1.0,0.999970806107727
1457,mp-6449,Cd2Cu4Si2S8,CdCu2SiS4,1.0,0.7359380862638166,1.0,1.0,1.0,0.6235769230769231,1.0,0.999970806107727
1719,mp-7188,Al2Os1,Al2Os,1.0,0.6468940078897217,1.0,1.0,1.0,0.5970249180643917,1.0,0.8691802453936546
1741,mp-7262,Zn8As16,ZnAs2,1.0,0.9746036347368526,1.0,1.0,1.0,0.9183333333333333,1.0,0.999970806107727
1759,mp-7372,Zn8As8,ZnAs,1.0,0.9332508731973895,1.0,1.0,1.0,0.7076558704453442,1.0,0.999970806107727
1760,mp-7373,Cd8As8,CdAs,1.0,0.9038319274250333,1.0,1.0,1.0,0.6720789473684211,1.0,0.8793587738392741
1835,mp-7599,Be4O4,BeO,1.0,0.6579648685563095,1.0,1.0,1.0,0.752,1.0,0.8691802453936546
1899,mp-7798,Mg4Ge4N8,MgGeN2,0.0,0.49729598454686724,1.0,0.625,1.0,0.5192034894929631,1.0,0.9916613330247022
1911,mp-7844,Mg6As4,Mg3As2,1.0,0.9197541765937496,1.0,1.0,1.0,0.7601558704453442,1.0,0.999970806107727
1912,mp-7846,Zn6P4,Zn3P2,1.0,0.9088842278134484,1.0,1.0,1.0,0.6976558704453442,1.0,0.8793587738392741
1929,mp-7907,Al2Zn1Se4,Al2ZnSe4,1.0,0.757139686494797,1.0,1.0,1.0,0.7028333333333333,1.0,0.999970806107727
1930,mp-7908,Al2Zn1Te4,Al2ZnTe4,1.0,0.8607584839652312,1.0,1.0,1.0,0.7286666666666668,1.0,0.999970806107727
1931,mp-7909,Al2Cd1Te4,Al2CdTe4,1.0,0.7430321626172468,1.0,1.0,1.0,0.667,1.0,0.999970806107727
1978,mp-8016,Al2Cu2Se4,AlCuSe2,1.0,0.9643494104574781,1.0,1.0,1.0,0.9697435897435898,1.0,0.999970806107727
1979,mp-8017,Al2Cu2Te4,AlCuTe2,1.0,0.9424074720691968,1.0,1.0,1.0,0.7603333333333333,1.0,0.999970806107727
1994,mp-8085,Mg6P4,Mg3P2,1.0,0.9204656676569575,1.0,1.0,1.0,0.822465394254868,1.0,0.999970806107727
2037,mp-8211,Ga2Ge2Te2,GaGeTe,1.0,0.836624124017019,1.0,1.0,1.0,0.7883333333333333,1.0,0.999970806107727
2078,mp-8311,Si3Ni1P4,Si3NiP4,1.0,0.9694822477934767,1.0,1.0,1.0,0.9813225371120109,1.0,0.999970806107727
