,material_id,full_formula,pretty_formula,LOG ,LOG Prob,DT ,DT Prob,RF ,RF Prob,GB ,GB Prob,MP BG
5295,mp-21459,In4Ag4S8,InAgS2,1.0,0.8538268631330612,0.0,0.0,1.0,0.7471530757721204,0.0,0.01060183018097203,0.5106999999999999
5301,mp-21510,K4Na2In2As4,K2NaInAs2,0.0,0.058752836100049166,0.0,0.03496503496503497,0.0,0.22510657036936432,1.0,0.999853330166075,0.8731
5302,mp-21511,K4Na2In2P4,K2NaInP2,0.0,0.055809540544090055,0.0,0.03496503496503497,0.0,0.1327525858844347,1.0,0.9998690529795954,1.2600000000000002
5348,mp-21733,Sr8In16Se32,Sr(InSe2)2,0.0,0.06978002183987762,0.0,0.0,0.0,0.20165948758934454,1.0,0.9996879972879715,1.5636999999999999
5354,mp-21766,Ba8In16Se32,Ba(InSe2)2,0.0,0.039351090873980095,0.0,0.03496503496503497,0.0,0.23072098835878233,1.0,0.9996280992544136,1.687
5366,mp-21855,V1Cu3Se4,VCu3Se4,0.0,0.319960810989138,0.0,0.0,0.0,0.2889143533817026,1.0,0.9996172937467023,0.9895
5405,mp-22052,Zn2In4S8,Zn(InS2)2,0.0,0.1358163304529455,0.0,0.03496503496503497,0.0,0.22044097862501816,1.0,0.9996172937467023,1.5311999999999997
5407,mp-22061,In2Te6Mo6,In(TeMo)3,0.0,0.05734040719584104,0.0,0.03496503496503497,0.0,0.20466806628086023,1.0,0.999853330166075,0.24109999999999943
5424,mp-22169,Mo2Pb2O8,MoPbO4,0.0,0.08435117044441796,0.0,0.03496503496503497,0.0,0.19007746613781035,1.0,0.9999584631608522,2.9475000000000002
5438,mp-22205,In2N2,InN,1.0,0.9558543984146893,1.0,1.0,1.0,0.7495083086181731,1.0,0.999970806107727,0.47770000000000046
5452,mp-22253,Zn1In2S4,Zn(InS2)2,0.0,0.16431822997600343,0.0,0.03496503496503497,0.0,0.23191911139379282,1.0,0.9998136142263824,0.10740000000000016
5459,mp-22304,Cd1In2Se4,Cd(InSe2)2,1.0,0.5772277888787263,1.0,1.0,1.0,0.556042635617578,1.0,0.8406626326648935,1.399
5478,mp-22408,Co4O4,CoO,1.0,0.9283665440844184,0.0,0.0,1.0,0.6872503442866698,1.0,0.999970806107727,0.8425000000000002
5496,mp-22506,Cs12In2As6,Cs6InAs3,0.0,0.017303098027689222,0.0,0.03496503496503497,0.0,0.14429176892361772,1.0,0.9995264059362056,0.4969999999999999
5538,mp-22661,In2Ag2P4S12,InAg(PS3)2,0.0,0.09754772554905664,0.0,0.0,0.0,0.20595613222214015,1.0,0.9988180698289993,1.2268
5543,mp-22689,Zr1Sn1Pd1,ZrSnPd,1.0,0.6063698155108359,0.0,0.0,0.0,0.48141228535948216,0.0,0.01060183018097203,0.18520000000000003
5544,mp-22691,In2Se2,InSe,1.0,0.5549212324182243,1.0,1.0,1.0,0.6454444354444325,1.0,0.8406626326648935,0.8635000000000002
5551,mp-22736,In2Cu2S4,InCuS2,1.0,0.7371177195585648,0.0,0.0,1.0,0.6477327471327442,0.0,0.01060183018097203,0.30520000000000014
5559,mp-22786,Th1Ni1Sn1,ThNiSn,0.0,0.40114897366789654,1.0,1.0,0.0,0.4533832884010668,1.0,0.8406626326648935,0.35329999999999995
5561,mp-22791,Tl2In2Te4,TlInTe2,0.0,0.3087518477945997,1.0,1.0,0.0,0.459501661966158,1.0,0.8406626326648935,0.6498999999999997
5564,mp-22811,In2Cu2Se4,InCuSe2,1.0,0.7119518320071618,0.0,0.0,1.0,0.6671041757041729,0.0,0.01060183018097203,0.19860000000000033
5570,mp-22848,Cl4,Cl2,1.0,0.9476023138972327,1.0,0.8888888888888888,1.0,0.7379984840904832,1.0,0.999970806107727,2.5793999999999997
5576,mp-22857,Cr2Cl4,CrCl2,0.0,0.07603071108399191,0.0,0.03496503496503497,0.0,0.1024003612366,1.0,0.9957567917810967,0.7871999999999999
5577,mp-22858,Tl2I2,TlI,0.0,0.4157087825471748,1.0,1.0,0.0,0.4809781616569434,1.0,0.8406626326648935,2.3197999999999994
5578,mp-22859,Hg2I2,HgI,1.0,0.7340090140334079,0.0,0.0,1.0,0.6978228083491532,0.0,0.01060183018097203,1.8859
5579,mp-22863,Cu2I2,CuI,1.0,0.5123724494351312,1.0,1.0,1.0,0.6670169430565899,1.0,0.8406626326648935,1.5715999999999992
5580,mp-22865,Cs1Cl1,CsCl,1.0,0.6501086550307161,0.0,0.0,1.0,0.5129108068020886,0.0,0.01060183018097203,5.4829
5581,mp-22867,Rb1Br1,RbBr,1.0,0.767267058778717,0.0,0.0,1.0,0.5945732966263685,0.0,0.01060183018097203,4.3724
5583,mp-22870,In2Br2,InBr,0.0,0.43193230435406516,1.0,1.0,0.0,0.4689327071114889,1.0,0.8406626326648935,1.6191
5587,mp-22875,Tl1Br1,TlBr,1.0,0.9089821827198691,1.0,1.0,1.0,0.7044891192460345,1.0,0.999970806107727,2.3615
5588,mp-22876,Cs4I12,CsI3,0.0,0.026189600709472023,0.0,0.03496503496503497,0.0,0.19905364829144226,1.0,0.9996280992544136,2.0157000000000003
5589,mp-22877,V1Cl2,VCl2,0.0,0.09861209173160677,0.0,0.03496503496503497,0.0,0.2769619143311448,1.0,0.9999655705996782,1.2595999999999998
5590,mp-22880,Fe1Br2,FeBr2,0.0,0.1639403362536273,0.0,0.03496503496503497,0.0,0.2203891496993574,1.0,0.9996172937467023,0.5075000000000001
5593,mp-22883,Pb1I2,PbI2,0.0,0.17990798065064478,0.0,0.0,0.0,0.271295105565041,1.0,0.9990672321889559,2.4334
5596,mp-22888,Ca2Br4,CaBr2,0.0,0.10616208576558377,0.0,0.03496503496503497,0.0,0.19776330437609832,1.0,0.9996320109466692,4.7449
5597,mp-22893,Pb1I2,PbI2,0.0,0.1830795500465222,0.0,0.03496503496503497,0.0,0.2636892662671387,1.0,0.9990672321889559,2.3703
5598,mp-22894,Ag2I2,AgI,1.0,0.9767040205651809,1.0,1.0,1.0,0.8124426622087197,1.0,0.999970806107727,1.3955
5599,mp-22895,Cu1I1,CuI,1.0,0.9670886675247603,1.0,1.0,1.0,0.8715101115211212,1.0,0.999970806107727,1.1762999999999995
5600,mp-22896,La2Cl6,LaCl3,0.0,0.05501866062506639,0.0,0.03496503496503497,0.0,0.09813295559036027,1.0,0.9983142532287136,3.6698999999999997
5601,mp-22897,Hg2Cl2,HgCl,0.0,0.49645584054869135,1.0,1.0,1.0,0.5422934397332174,1.0,0.8406626326648935,2.8204000000000002
5602,mp-22898,K1I1,KI,1.0,0.7778124117287686,0.0,0.0,1.0,0.5925732966263684,0.0,0.01060183018097203,4.0433
5603,mp-22899,Li1I1,LiI,1.0,0.727907366205916,0.0,0.0,0.0,0.49393074840838,0.0,0.01060183018097203,4.2402999999999995
5604,mp-22901,K1I1,KI,1.0,0.7920841796880245,0.0,0.0,1.0,0.6186995926494426,0.0,0.01060183018097203,3.9111
5605,mp-22903,Rb1I1,RbI,1.0,0.8098788691863973,1.0,1.0,1.0,0.6899342517943888,1.0,0.999970806107727,3.9541000000000004
5606,mp-22904,Ca2Cl4,CaCl2,0.0,0.1369317043093835,0.0,0.03496503496503497,0.0,0.24313121447544497,1.0,0.9999711173415113,5.582800000000001
5607,mp-22905,Li1Cl1,LiCl,1.0,0.7929369166803522,1.0,0.8888888888888888,1.0,0.5710709463548516,1.0,0.999970806107727,6.3951
5608,mp-22906,Cs1Br1,CsBr,1.0,0.7663266054350498,0.0,0.0,1.0,0.6186995926494426,0.0,0.01060183018097203,4.7786
5611,mp-22913,Cu1Br1,CuBr,1.0,0.9782908201992762,1.0,1.0,1.0,0.8804386829496927,1.0,0.999970806107727,0.48709999999999987
5612,mp-22914,Cu1Cl1,CuCl,1.0,0.9834265279737261,1.0,1.0,1.0,0.8499079657526726,1.0,0.999970806107727,0.8018000000000005
5613,mp-22915,Ag1I1,AgI,1.0,0.9459322166445844,1.0,1.0,1.0,0.7024937488756642,1.0,0.999970806107727,0.4700000000000002
5614,mp-22916,Na1Br1,NaBr,1.0,0.7910968646326171,0.0,0.0,1.0,0.5481680147180389,0.0,0.01060183018097203,4.0895
5615,mp-22917,Cu2Br2,CuBr,1.0,0.6305634201161926,1.0,1.0,1.0,0.712746152139499,1.0,0.8406626326648935,0.9962
5616,mp-22919,Ag1I1,AgI,1.0,0.9152957671936996,1.0,1.0,1.0,0.6899342517943888,1.0,0.999970806107727,1.0059000000000005
5617,mp-22922,Ag1Cl1,AgCl,1.0,0.859981493942465,0.0,0.0,1.0,0.6241944499449354,0.0,0.01060183018097203,1.2003
5618,mp-22925,Ag1I1,AgI,1.0,0.9811965327951238,1.0,1.0,1.0,0.8305836508089648,1.0,0.999970806107727,1.7236
5619,mp-22930,Rb8Cd2Cl12,Rb4CdCl6,0.0,0.04219883826219529,0.0,0.03496503496503497,0.0,0.12991676892361773,1.0,0.9998132129516792,3.9566
5626,mp-22939,Bi2Cl2O2,BiClO,0.0,0.14568004603574544,0.0,0.0,0.0,0.216111347238618,1.0,0.9995960081330222,2.6391000000000004
5638,mp-22961,Li4Zn2Cl8,Li2ZnCl4,0.0,0.06134262669451086,0.0,0.03496503496503497,0.0,0.11193731051367461,1.0,0.9970783798552747,4.3019
5641,mp-22965,Bi1Te1I1,BiTeI,0.0,0.30922384883786036,1.0,1.0,0.0,0.4713007482893126,1.0,0.8406626326648935,1.3295000000000003
5646,mp-22971,Sb4S4Br4,SbSBr,0.0,0.0924222744758817,0.0,0.0,0.0,0.21123935216920917,1.0,0.9994616501276015,1.8194
5657,mp-22987,Bi2I2O2,BiIO,0.0,0.049771141931550404,0.0,0.0,0.0,0.16549289185713775,1.0,0.9983148120833468,1.4843000000000002
5660,mp-22990,Cs1I1Cl2,CsICl2,0.0,0.21040481259318586,0.0,0.0,0.0,0.2317177786164274,1.0,0.9988838168413506,2.3019
5664,mp-22995,Ag3S1I1,Ag3SI,0.0,0.20707556376759495,0.0,0.03496503496503497,0.0,0.19965804389583788,1.0,0.9996172937467023,0.5428999999999999
5665,mp-22996,Sb4Se4I4,SbSeI,0.0,0.08947590334971126,0.0,0.0,0.0,0.1888023447322017,1.0,0.9987752410214809,1.4167999999999998
5669,mp-23005,Bi4Te7Pb1,Bi4Te7Pb,0.0,0.20814732888163007,1.0,1.0,0.0,0.42848063185269747,1.0,0.8406626326648935,0.5997999999999992
5676,mp-23020,Bi4Se4I4,BiSeI,0.0,0.06074864829407762,0.0,0.03496503496503497,0.0,0.19776330437609832,1.0,0.9996879972879715,1.6111
5680,mp-23024,Sr2Br2F2,SrBrF,0.0,0.05078848680886409,0.0,0.03496503496503497,0.0,0.10473017781258251,1.0,0.9970783798552747,5.0036
5685,mp-23036,K2Se1Br6,K2SeBr6,0.0,0.04536423525215593,0.0,0.03496503496503497,0.0,0.22510657036936432,1.0,0.9996280992544136,1.8314
5688,mp-23040,Ca2P1I1,Ca2PI,0.0,0.17248979727522096,0.0,0.03496503496503497,0.0,0.19119650543429942,1.0,0.9996320109466692,1.8020999999999998
5689,mp-23041,Sb4S4I4,SbSI,0.0,0.06491758702260508,0.0,0.0,0.0,0.25617276458028426,1.0,0.9986697383203159,1.6748999999999996
5742,mp-23116,Cu2Bi2Se2O2,CuBiSeO,0.0,0.3153141010861926,1.0,1.0,0.0,0.32477586702298483,1.0,0.8406626326648935,0.34499999999999975
5757,mp-23140,Ag4Hg4S4I4,AgHgSI,0.0,0.04946559859960501,0.0,0.0,0.0,0.2640448048856579,1.0,0.9985403686141219,1.3679000000000001
5766,mp-23153,I4,I,1.0,0.9426888588392497,1.0,1.0,1.0,0.7932260723469686,1.0,0.999970806107727,1.0495999999999999
5767,mp-23154,Br4,Br,1.0,0.9552744811088182,1.0,1.0,1.0,0.8340611530008597,1.0,0.999970806107727,1.3266
