,material_id,full_formula,pretty_formula,LOG ,LOG Prob,DT ,DT Prob,RF ,RF Prob,GB ,GB Prob
7,mp-111,Ne1,Ne,1.0,0.9997977176624951,1.0,0.9594594594594594,1.0,0.7458834351351139,1.0,0.9519054096142678
10,mp-147,Se6,Se,1.0,0.5043074857746518,1.0,0.9594594594594594,1.0,0.5303666601597636,1.0,0.9454255680857488
13,mp-160,B12,B,0.0,0.3852828657817746,1.0,0.8888888888888888,1.0,0.8148595378241623,1.0,0.7657318706278227
15,mp-189,Si4Ru4,SiRu,1.0,0.5736114325754312,1.0,0.9594594594594594,1.0,0.7288279113764609,1.0,0.980514245655783
27,mp-252,Be1Te1,BeTe,1.0,0.8026759607429061,1.0,0.9594594594594594,1.0,0.7512458079695655,1.0,0.9552634570757884
44,mp-344,B4N4,BN,0.0,0.41537718949835756,1.0,0.8888888888888888,1.0,0.7096289011683748,1.0,0.9786668318442936
62,mp-422,Be1S1,BeS,0.0,0.46483389524728774,1.0,0.9594594594594594,1.0,0.5370036383113208,1.0,0.9614082133947717
126,mp-871,Fe4Si4,FeSi,0.0,0.23371116981618043,1.0,0.9594594594594594,1.0,0.5315692500653801,1.0,0.9671814247313334
135,mp-938,Ge1Te1,GeTe,1.0,0.6040922967634876,1.0,0.9594594594594594,1.0,0.5132281900978217,1.0,0.8651033017035709
147,mp-1039,Mg2Te2,MgTe,1.0,0.9443401763833031,1.0,0.9594594594594594,1.0,0.8418096370130492,1.0,0.9690752946217116
151,mp-1070,Cd2Se2,CdSe,1.0,0.8669926993863704,1.0,0.9594594594594594,1.0,0.8190849255558503,1.0,0.9785013142478383
165,mp-1156,Ga1Sb1,GaSb,1.0,0.8264040508078049,1.0,0.9594594594594594,1.0,0.6129549255384155,1.0,0.8487714030006535
174,mp-1222,Cr3Si6,CrSi2,1.0,0.827757956838538,1.0,0.8888888888888888,1.0,0.592995875618607,1.0,0.7389760433016758
182,mp-1265,Mg1O1,MgO,1.0,0.6561274543195114,1.0,0.8888888888888888,1.0,0.5659746713125196,1.0,0.774118462798881
217,mp-1479,B1P1,BP,1.0,0.9286632219593297,1.0,0.9594594594594594,1.0,0.8094244376911207,1.0,0.9891045197935001
224,mp-1541,Be1Se1,BeSe,1.0,0.851071058377103,1.0,0.9594594594594594,1.0,0.7207094219023985,1.0,0.978090148256733
229,mp-1569,Be2C1,Be2C,1.0,0.8236224078667008,1.0,0.8888888888888888,1.0,0.712332174836273,1.0,0.9424219915068214
241,mp-1639,B1N1,BN,1.0,0.9998493312669204,1.0,0.9594594594594594,1.0,0.9487413136097347,1.0,0.9971044576078345
259,mp-1778,Be1O1,BeO,1.0,0.970818015445273,1.0,0.8888888888888888,1.0,0.7292070131149078,1.0,0.9788542484811985
263,mp-1794,Be1O1,BeO,1.0,0.9992788224304471,1.0,0.8888888888888888,1.0,0.7295102339181286,1.0,0.9834385168532483
278,mp-1876,Sn1S1,SnS,0.0,0.3044332863896439,1.0,0.9594594594594594,1.0,0.5027006021886548,1.0,0.8321344112923034
359,mp-2488,Si4Os4,SiOs,1.0,0.7824998337674506,1.0,0.9594594594594594,1.0,0.7327901741812692,1.0,0.938730641847697
366,mp-2542,Be2O2,BeO,1.0,0.9966016280816751,1.0,0.8888888888888888,1.0,0.6792745806824755,1.0,0.9812934461405817
377,mp-2624,Al1Sb1,AlSb,1.0,0.8965532600435226,1.0,0.9594594594594594,1.0,0.7365445814964926,1.0,0.9868671544850284
385,mp-2653,B2N2,BN,1.0,0.9991018851810036,1.0,0.9594594594594594,1.0,0.9187413136097347,1.0,0.9971528128366474
390,mp-2691,Cd1Se1,CdSe,1.0,0.8940287268111456,1.0,0.9594594594594594,1.0,0.796525175860167,1.0,0.9727989425755222
412,mp-2852,C6N8,C3N4,1.0,0.9253875100084902,1.0,0.8888888888888888,1.0,0.7241632016632016,1.0,0.6805520752616935
413,mp-2857,Sc1N1,ScN,1.0,0.9043213489290646,1.0,0.8888888888888888,1.0,0.6132509700138181,1.0,0.9394980944968302
617,mp-3595,Zn2Si2As4,ZnSiAs2,0.0,0.46071772921858406,1.0,0.9594594594594594,1.0,0.5023992955926975,1.0,0.9224041600811732
683,mp-3829,Cd2Sn2As4,CdSnAs2,1.0,0.7930665701378586,1.0,0.9594594594594594,1.0,0.7219249775935213,1.0,0.9807655359756989
741,mp-4008,Zn2Ge2As4,ZnGeAs2,0.0,0.4928254586771552,1.0,0.9594594594594594,1.0,0.5079015600723725,1.0,0.9752581591037551
862,mp-4524,Zn2Ge2P4,ZnGeP2,1.0,0.900908937015258,1.0,0.9594594594594594,1.0,0.8313893928190562,1.0,0.9972977954969127
943,mp-4763,Zn2Si2P4,ZnSiP2,1.0,0.780151835578809,1.0,0.9594594594594594,1.0,0.5763931513789761,1.0,0.9792726463625634
966,mp-4840,Ga2Cu2Se4,GaCuSe2,0.0,0.2551656309720845,1.0,0.9594594594594594,1.0,0.6167536099832458,1.0,0.9481184730327612
1061,mp-5213,Cd2Sn2P4,CdSnP2,1.0,0.5414739924805804,1.0,0.9594594594594594,1.0,0.7597429330582353,1.0,0.985203202838535
1068,mp-5238,Ga2Cu2S4,GaCuS2,1.0,0.8286617158027277,1.0,0.9594594594594594,1.0,0.7263723552162803,1.0,0.9966739655360823
1440,mp-6408,Zn1Cu2Ge1S4,ZnCu2GeS4,1.0,0.6827914072249404,1.0,0.9594594594594594,1.0,0.558022782768604,1.0,0.9661265305200621
