,oqmd_bg,oqmd_sg,oqmd_icsd
338,,,
339,,,
340,0.47000000000000103,140.0,75555.0
341,0.856,62.0,16680.0
342,,,
343,1.624,216.0,67784.0
344,5.495,62.0,16611.0
345,1.45,216.0,104196.0
346,3.766,227.0,2114.0
347,0.29600000000000004,225.0,38294.0
348,1.084,225.0,38222.0
349,0.907,62.0,24376.0
350,3.264,64.0,15672.0
351,1.557,11.0,72292.0
352,1.2409999999999999,62.0,1256.0
353,,,
354,,,
355,1.422,191.0,34280.0
356,5.501,33.0,84375.0
357,2.537,62.0,2499.0
358,,,
359,3.305,225.0,60433.0
360,,,
361,1.253,11.0,430.0
362,1.5030000000000001,205.0,36151.0
363,0.9149999999999989,58.0,993.0
364,,,
365,1.5859999999999999,194.0,63201.0
366,4.16,206.0,27994.0
367,2.369,225.0,60435.0
368,1.05,87.0,1085.0
369,0.9229999999999999,60.0,89667.0
370,,,
371,1.35,194.0,43407.0
372,1.285,15.0,43276.0
373,1.2770000000000001,33.0,23620.0
374,5.436,33.0,15390.0
375,,,
376,1.557,167.0,16676.0
377,1.733,33.0,16140.0
378,,,
379,0.787,58.0,995.0
380,4.185,12.0,160227.0
381,4.29,12.0,419435.0
382,1.341,216.0,29278.0
383,3.363,225.0,26960.0
384,,,
385,,,
386,0.620000000000001,198.0,15692.0
387,1.6480000000000001,216.0,41676.0
388,1.8019999999999998,194.0,59.0
389,3.992,62.0,14324.0
390,0.30300000000000105,205.0,24156.0
391,1.6469999999999998,206.0,26875.0
392,0.379,62.0,25595.0
393,2.6180000000000003,225.0,60434.0
394,1.146,216.0,41674.0
395,7.917999999999999,186.0,15620.0
396,1.584,167.0,27019.0
397,1.3219999999999998,102.0,26541.0
398,,,
399,,,
400,4.021,205.0,35479.0
401,,,
402,0.894,221.0,616162.0
403,1.117,205.0,30390.0
404,3.687,225.0,26959.0
405,0.508,225.0,56037.0
406,1.3,216.0,24804.0
407,1.8780000000000001,139.0,618815.0
408,1.8880000000000001,62.0,10365.0
409,1.494,205.0,94241.0
410,0.186000000000001,164.0,2142.0
411,2.495,14.0,23842.0
412,,,
413,4.473,206.0,16394.0
414,5.303999999999999,186.0,41486.0
415,1.794,136.0,9161.0
416,3.694,12.0,34675.0
417,1.04,221.0,58427.0
418,,,
419,2.966,64.0,25527.0
420,,,
421,,,
422,0.5429999999999989,58.0,997.0
423,3.1519999999999997,139.0,24249.0
424,3.4,139.0,16794.0
425,0.228,14.0,30242.0
426,2.94,205.0,30814.0
427,3.0460000000000003,96.0,62897.0
428,7.8,225.0,28730.0
429,0.9390000000000001,14.0,2647.0
430,2.414,225.0,28901.0
431,4.023,164.0,28180.0
432,,,
433,2.445,225.0,60437.0
434,2.654,204.0,29047.0
435,,,
436,1.483,36.0,23724.0
437,0.643000000000001,9.0,42015.0
438,1.3119999999999998,62.0,22176.0
439,1.285,194.0,24000.0
440,2.7030000000000003,167.0,26974.0
441,0.63,62.0,80568.0
442,1.395,15.0,308.0
443,2.995,220.0,83263.0
444,,,
445,,,
446,3.843,14.0,15983.0
447,3.3339999999999996,12.0,74897.0
448,6.516,62.0,20208.0
449,2.262,62.0,59161.0
450,1.4709999999999999,33.0,63306.0
451,3.261,227.0,24194.0
452,,,
453,3.258,62.0,78486.0
454,0.431,216.0,58583.0
455,5.096,62.0,9685.0
456,1.6569999999999998,88.0,79801.0
457,4.16,227.0,24494.0
458,7.754,127.0,16413.0
459,0.95,14.0,80132.0
460,3.1210000000000004,194.0,35580.0
461,3.9139999999999997,167.0,180175.0
462,,,
463,3.0,15.0,15150.0
464,6.327000000000001,141.0,79761.0
465,7.024,225.0,108778.0
466,4.428999999999999,164.0,98642.0
467,,,
468,7.515,62.0,72318.0
469,,,
470,1.3869999999999998,122.0,22189.0
471,,,
472,2.4530000000000003,44.0,9265.0
473,1.244,14.0,20773.0
474,3.335,2.0,61496.0
475,,,
476,1.975,33.0,15144.0
477,3.154,15.0,413655.0
478,,,
479,,,
480,2.7769999999999997,139.0,20581.0
481,0.5529999999999999,148.0,249043.0
482,1.685,123.0,27965.0
483,1.5930000000000002,164.0,35361.0
484,8.242,62.0,153082.0
485,0.5660000000000001,186.0,68604.0
486,0.29899999999999893,140.0,104191.0
487,5.117,62.0,10162.0
488,9.367,62.0,21083.0
489,3.835,12.0,1633.0
490,1.5530000000000002,82.0,25638.0
491,1.229,227.0,246498.0
492,8.437999999999999,225.0,29407.0
493,3.238,63.0,160835.0
494,,,
495,3.7119999999999997,62.0,41415.0
496,5.172000000000001,15.0,16713.0
497,0.846,166.0,25510.0
498,1.48,12.0,74903.0
499,4.3469999999999995,12.0,60311.0
500,3.347,15.0,413653.0
501,1.608,139.0,37324.0
502,,,
503,0.77,122.0,22187.0
504,3.948,182.0,1854.0
505,,,
506,6.807,62.0,31080.0
507,6.256,180.0,24473.0
508,4.8,4.0,26466.0
509,2.334,194.0,31368.0
510,0.5920000000000001,62.0,43272.0
511,1.195,129.0,74904.0
512,3.615,160.0,59364.0
513,,,
514,3.286,148.0,9089.0
515,0.611,60.0,77772.0
516,4.365,139.0,9925.0
517,1.7630000000000001,221.0,28588.0
518,0.327,227.0,76496.0
519,,,
520,5.736000000000001,63.0,66554.0
521,3.549,15.0,20422.0
522,4.668,15.0,37126.0
523,,,
524,,,
525,2.215,82.0,25637.0
526,,,
527,,,
528,1.143,221.0,27049.0
529,6.763999999999999,62.0,16917.0
530,0.568,82.0,59911.0
531,0.249,214.0,15734.0
532,2.707,59.0,31783.0
533,,,
534,,,
535,1.234,136.0,30409.0
536,5.138,14.0,27762.0
537,0.433,12.0,418887.0
538,,,
539,2.4019999999999997,227.0,24205.0
540,4.084,13.0,62318.0
541,4.309,59.0,161818.0
542,3.102,164.0,32515.0
543,1.734,164.0,16231.0
544,,,
545,1.8430000000000002,31.0,31870.0
546,3.114,164.0,109329.0
547,,,
548,4.171,141.0,16329.0
549,,,
550,2.66,84.0,416448.0
551,1.272,72.0,67372.0
552,,,
553,,,
554,6.737,121.0,245842.0
555,6.146,148.0,72998.0
556,4.624,82.0,26891.0
557,5.311,36.0,20172.0
558,,,
559,3.705,2.0,16380.0
560,3.741,167.0,40984.0
561,,,
562,2.8280000000000003,137.0,23634.0
563,4.868,216.0,23743.0
564,3.273,57.0,23196.0
565,1.146,2.0,61220.0
566,,,
567,0.8390000000000001,62.0,172356.0
568,7.997999999999999,62.0,12101.0
569,1.17,227.0,642718.0
570,3.553,221.0,27046.0
571,1.395,15.0,163815.0
572,0.831,166.0,31679.0
573,3.068,227.0,82963.0
574,2.8539999999999996,227.0,24208.0
575,,,
576,3.299,33.0,4416.0
577,2.101,12.0,79557.0
578,6.367000000000001,148.0,28003.0
579,1.841,139.0,20294.0
580,2.971,139.0,27115.0
581,,,
582,,,
583,3.372,227.0,24193.0
584,6.017,62.0,2105.0
585,,,
586,3.155,139.0,27114.0
587,4.425,62.0,164623.0
588,4.611000000000001,63.0,39630.0
589,,,
590,,,
591,4.383,140.0,240414.0
592,,,
593,3.705,11.0,240888.0
594,4.416,14.0,2625.0
595,5.315,150.0,15966.0
596,,,
597,0.473,176.0,23301.0
598,1.08,206.0,28676.0
599,8.235,14.0,4029.0
600,5.9879999999999995,60.0,30282.0
601,2.441,140.0,9907.0
602,5.1770000000000005,92.0,23815.0
603,0.391,216.0,40296.0
604,0.302,220.0,57207.0
605,3.968,11.0,15073.0
606,2.26,140.0,162919.0
607,1.8030000000000002,227.0,159739.0
608,4.127,13.0,20262.0
609,3.864,62.0,90440.0
610,8.512,221.0,28949.0
611,,,
612,4.202,167.0,165840.0
613,,,
614,,,
615,4.615,62.0,16916.0
616,,,
617,0.642,186.0,65413.0
618,0.381,186.0,33933.0
619,5.7139999999999995,166.0,158736.0
620,3.056,11.0,15463.0
621,2.347,33.0,20344.0
622,1.3530000000000002,15.0,14197.0
623,3.157,15.0,16784.0
624,3.489,137.0,66096.0
625,3.093,57.0,1624.0
626,2.755,198.0,6166.0
627,5.233,15.0,27003.0
628,8.99,63.0,30349.0
629,3.688,62.0,150876.0
630,4.064,122.0,32713.0
631,0.284,166.0,2085.0
632,1.419,72.0,16919.0
633,1.683,62.0,74678.0
634,,,
635,0.34299999999999997,160.0,42397.0
636,5.827000000000001,227.0,22354.0
637,,,
638,3.5989999999999998,15.0,21032.0
639,6.276,62.0,36405.0
640,0.98,113.0,154793.0
641,5.989,60.0,67110.0
642,3.34,164.0,647382.0
643,2.7239999999999998,164.0,95192.0
644,,,
645,5.47,167.0,1894.0
646,1.0659999999999998,64.0,79587.0
647,6.0920000000000005,14.0,62162.0
648,7.987,82.0,26890.0
649,1.784,72.0,84000.0
650,1.5030000000000001,227.0,27119.0
651,3.806,36.0,420733.0
652,1.136,122.0,22184.0
653,0.606,33.0,23527.0
654,3.33,227.0,162004.0
655,2.496,52.0,20345.0
656,2.414,166.0,30250.0
657,2.411,221.0,39673.0
658,6.0360000000000005,15.0,20075.0
659,1.265,14.0,71101.0
660,,,
661,,,
662,2.741,194.0,2597.0
663,5.986000000000001,14.0,16568.0
664,5.315,166.0,14282.0
665,2.9210000000000003,194.0,60847.0
666,3.4189999999999996,33.0,68465.0
667,1.4469999999999998,136.0,40345.0
668,6.973,221.0,201253.0
669,6.9110000000000005,33.0,1585.0
670,,,
671,4.165,161.0,9537.0
672,3.568,120.0,27058.0
673,0.904,122.0,22186.0
674,,,
675,4.315,33.0,23501.0
676,3.17,227.0,82962.0
677,,,
678,8.474,88.0,27896.0
679,,,
680,,,
681,,,
682,0.475,129.0,33587.0
683,,,
684,4.29,140.0,164621.0
685,2.662,63.0,10057.0
686,3.4589999999999996,161.0,28294.0
687,4.073,62.0,171183.0
688,6.234,14.0,79753.0
689,,,
690,,,
691,1.659,194.0,29282.0
692,2.391,166.0,25593.0
693,4.4639999999999995,15.0,202458.0
694,4.126,15.0,109184.0
695,4.279,148.0,40333.0
696,1.092,215.0,1414.0
697,,,
698,,,
699,2.8789999999999996,14.0,280603.0
700,3.497,148.0,55285.0
701,1.5419999999999998,82.0,2287.0
702,8.325,5.0,40917.0
703,3.0610000000000004,64.0,170269.0
704,,,
705,0.47100000000000003,140.0,16243.0
706,4.2010000000000005,15.0,2817.0
707,3.115,148.0,16172.0
708,,,
709,5.77,62.0,83027.0
710,4.3839999999999995,62.0,69349.0
711,,,
712,3.1489999999999996,139.0,20141.0
713,1.1640000000000001,162.0,411231.0
714,0.79,139.0,69853.0
715,,,
716,2.5469999999999997,164.0,16892.0
717,4.494,62.0,15195.0
718,4.269,182.0,16845.0
719,0.303,122.0,16737.0
720,6.1979999999999995,14.0,79751.0
721,3.3169999999999997,221.0,27048.0
722,2.923,59.0,92467.0
723,0.39999999999999897,122.0,28738.0
724,,,
725,7.707000000000001,14.0,14307.0
726,,,
727,5.455,166.0,18110.0
728,3.175,62.0,980.0
729,5.399,14.0,66516.0
730,2.645,36.0,187.0
731,3.12,62.0,38344.0
732,,,
733,4.856,36.0,16925.0
734,3.156,227.0,82961.0
735,2.7260000000000004,206.0,634534.0
736,4.648,167.0,34645.0
737,,,
738,3.7060000000000004,15.0,10124.0
739,3.395,227.0,1086.0
740,2.457,166.0,74076.0
741,,,
742,1.38,62.0,9369.0
743,4.872,167.0,16005.0
744,1.198,15.0,56836.0
745,1.829,194.0,451.0
746,,,
747,,,
748,5.335,15.0,16564.0
749,4.939,14.0,2282.0
750,3.966,36.0,27229.0
751,1.219,31.0,24530.0
752,8.141,13.0,55691.0
753,1.8459999999999999,12.0,2356.0
754,1.972,205.0,61144.0
755,3.446,62.0,78483.0
756,,,
757,,,
758,,,
759,3.41,14.0,72521.0
760,,,
761,4.928999999999999,14.0,79747.0
762,4.796,14.0,10191.0
763,3.3280000000000003,14.0,66978.0
764,4.632,164.0,280318.0
765,,,
766,,,
767,6.45,19.0,2081.0
768,5.081,15.0,38271.0
769,5.324,148.0,23924.0
770,1.347,63.0,15095.0
771,1.319,129.0,93352.0
772,3.306,152.0,33256.0
773,3.4760000000000004,36.0,26435.0
774,6.681,162.0,2644.0
775,0.851,36.0,16987.0
776,6.505,141.0,15670.0
777,0.33799999999999997,122.0,68324.0
778,0.361,63.0,63588.0
779,1.706,15.0,163901.0
780,2.397,62.0,16688.0
781,0.8240000000000001,113.0,154794.0
782,0.406,216.0,105304.0
783,1.1,166.0,25723.0
784,1.547,69.0,26267.0
785,,,
786,1.32,62.0,67818.0
787,1.472,215.0,73956.0
788,1.217,19.0,951.0
789,8.363,225.0,26871.0
790,5.882999999999999,20.0,16651.0
791,,,
792,9.193999999999999,62.0,21084.0
793,,,
794,2.585,14.0,23455.0
795,6.155,215.0,20748.0
796,4.957,15.0,66823.0
797,1.6640000000000001,215.0,108406.0
798,3.279,227.0,24195.0
799,3.86,14.0,40923.0
800,1.935,74.0,62960.0
801,6.341,141.0,35706.0
802,4.101,62.0,27440.0
803,5.649,37.0,78562.0
804,4.934,152.0,30881.0
805,1.581,166.0,26315.0
806,3.865,166.0,26677.0
807,3.1460000000000004,221.0,44521.0
808,6.087000000000001,14.0,16629.0
809,4.495,14.0,14155.0
810,,,
811,1.59,227.0,22411.0
812,3.9019999999999997,15.0,94893.0
813,3.634,205.0,35494.0
814,1.315,62.0,41703.0
815,2.585,36.0,63705.0
816,2.055,14.0,1032.0
817,2.548,221.0,28617.0
818,1.129,14.0,60078.0
819,0.325,216.0,81213.0
820,0.9229999999999999,122.0,22179.0
821,5.292999999999999,14.0,963.0
822,0.7909999999999989,160.0,24797.0
823,,,
824,3.1010000000000004,36.0,34793.0
825,3.1639999999999997,148.0,2373.0
826,0.9670000000000001,62.0,72865.0
827,0.344,218.0,14000.0
828,4.5569999999999995,14.0,15476.0
829,5.005,141.0,16648.0
830,,,
831,,,
832,0.998,164.0,26233.0
833,,,
834,,,
835,,,
836,1.7690000000000001,14.0,39232.0
837,0.741,139.0,89575.0
838,3.5260000000000002,11.0,16701.0
839,5.644,148.0,2362.0
840,2.7939999999999996,60.0,60507.0
841,3.405,55.0,156194.0
842,1.3359999999999999,166.0,25594.0
843,0.748,227.0,40583.0
844,3.313,138.0,81851.0
845,2.5980000000000003,31.0,33238.0
846,,,
847,,,
848,4.048,62.0,16001.0
849,2.52,166.0,108429.0
850,6.341,141.0,35704.0
851,1.631,99.0,9532.0
852,4.1530000000000005,15.0,153363.0
853,,,
854,,,
855,0.29100000000000004,71.0,16536.0
856,3.8680000000000003,161.0,163867.0
857,,,
858,,,
859,9.31,19.0,37033.0
860,3.2960000000000003,167.0,20181.0
861,3.822,62.0,159454.0
862,5.249,63.0,172737.0
863,,,
864,3.07,227.0,82957.0
865,3.38,205.0,35495.0
866,5.45,15.0,98644.0
867,0.24,221.0,75499.0
868,6.327000000000001,63.0,1956.0
869,3.197,227.0,150208.0
870,1.568,38.0,14308.0
871,6.919,148.0,32589.0
872,1.734,127.0,23563.0
873,3.636,14.0,20043.0
874,2.863,227.0,164027.0
875,0.7170000000000001,55.0,41027.0
876,2.736,15.0,92395.0
877,5.553999999999999,2.0,16923.0
878,,,
879,1.115,161.0,27841.0
880,5.609,62.0,84422.0
881,2.872,62.0,59160.0
882,0.319,14.0,413886.0
883,,,
884,2.937,62.0,73411.0
885,2.301,82.0,2286.0
886,,,
887,,,
888,4.925,62.0,34278.0
889,0.738,62.0,66657.0
890,4.592,62.0,9095.0
891,3.114,148.0,78011.0
892,2.781,129.0,67275.0
893,5.534,36.0,34025.0
894,,,
895,3.262,164.0,14280.0
896,,,
897,1.061,161.0,27842.0
898,3.68,166.0,15157.0
899,1.368,122.0,44261.0
900,4.368,148.0,1180.0
901,6.187,62.0,2827.0
902,1.749,70.0,23943.0
903,3.1189999999999998,167.0,2865.0
904,4.519,36.0,15388.0
905,,,
906,4.18,62.0,73765.0
907,0.873,12.0,80561.0
908,2.221,139.0,27004.0
909,2.958,14.0,170270.0
910,3.969,221.0,29154.0
911,,,
912,6.712999999999999,14.0,2512.0
913,4.531000000000001,63.0,16935.0
914,4.728,160.0,158390.0
915,4.2219999999999995,62.0,37264.0
916,0.27699999999999997,166.0,15411.0
917,,,
918,2.503,11.0,23420.0
919,0.7829999999999999,62.0,172355.0
920,,,
921,,,
922,6.157,14.0,62161.0
923,3.721,227.0,157769.0
924,,,
925,2.22,167.0,26490.0
926,,,
927,2.795,227.0,151747.0
928,3.324,205.0,409501.0
929,8.686,148.0,56255.0
930,5.601,141.0,31177.0
931,4.077,62.0,60928.0
932,8.263,148.0,14360.0
933,3.8,141.0,20383.0
934,4.176,62.0,15194.0
935,,,
936,5.875,166.0,18109.0
937,3.013,166.0,55689.0
938,1.262,60.0,71606.0
939,,,
940,5.314,57.0,16155.0
941,0.7490000000000001,15.0,417900.0
942,1.929,140.0,56718.0
943,0.603,62.0,67522.0
944,4.1419999999999995,61.0,16926.0
945,5.2,15.0,20355.0
946,,,
947,4.8389999999999995,14.0,24112.0
948,,,
949,1.4140000000000001,122.0,22188.0
950,,,
951,,,
952,4.168,63.0,164622.0
953,,,
954,2.505,127.0,23322.0
955,2.613,26.0,39624.0
956,3.641,62.0,499.0
957,3.326,121.0,30406.0
958,0.7070000000000001,11.0,281040.0
959,,,
960,,,
961,2.707,63.0,23320.0
962,2.5540000000000003,2.0,36514.0
963,3.575,15.0,109176.0
964,2.3569999999999998,167.0,71261.0
965,4.217,15.0,16370.0
966,1.234,14.0,64672.0
967,,,
968,1.048,82.0,25645.0
969,0.568,189.0,26193.0
970,3.1010000000000004,15.0,27017.0
971,5.815,14.0,15440.0
972,,,
973,3.03,55.0,9011.0
974,,,
975,8.01,128.0,25618.0
976,5.234,58.0,24275.0
977,4.025,88.0,1921.0
978,,,
979,,,
980,0.695,60.0,75976.0
981,1.4369999999999998,122.0,22190.0
982,2.365,164.0,94415.0
983,,,
984,5.847,70.0,27654.0
985,,,
986,,,
987,1.199,63.0,160328.0
988,0.755999999999999,62.0,172354.0
989,4.199,141.0,202082.0
990,3.042,2.0,415763.0
991,,,
992,3.0060000000000002,2.0,2403.0
993,3.128,164.0,636114.0
994,,,
995,1.7280000000000002,82.0,25643.0
996,3.812,217.0,15800.0
997,,,
998,1.358,14.0,64673.0
999,2.8739999999999997,15.0,35534.0
1000,4.815,141.0,15759.0
1001,1.206,129.0,61083.0
1002,3.011,218.0,44368.0
1003,6.877999999999999,150.0,31603.0
1004,0.25,122.0,28737.0
1005,,,
1006,2.6210000000000004,227.0,15377.0
1007,,,
1008,,,
1009,,,
1010,4.507,15.0,14270.0
1011,,,
1012,4.124,13.0,20264.0
1013,0.873,198.0,60962.0
1014,3.295,166.0,18104.0
1015,,,
