,material_id,full_formula,pretty_formula,LOG ,LOG Prob,DT ,DT Prob,RF ,RF Prob,GB ,GB Prob
10938,mp-558956,K8V4P4O24,K2VPO6,1.0,0.8888451425489465,1.0,0.5714285714285714,1.0,0.5277711622739792,1.0,0.5512741806627807
10941,mp-558963,Hf4Ni20B8O40,HfNi5(BO5)2,0.0,0.49452489010541256,1.0,0.896551724137931,1.0,0.8308301711698367,1.0,0.8493331614428763
10942,mp-558965,Gd16Si8Se12O28,Gd4Si2Se3O7,1.0,0.9943049799678496,1.0,0.8333333333333334,1.0,0.7827527672348986,1.0,0.9221168900949857
10943,mp-558966,Ca30Re12O72,Ca5(ReO6)2,1.0,0.9779299716073838,1.0,0.9574468085106383,1.0,0.8228153865731258,1.0,0.9588480243593163
10944,mp-558967,K12Ta8S44,K3Ta2S11,1.0,0.9518365235788512,1.0,0.946236559139785,1.0,0.6628202394380226,1.0,0.9472562387128689
10945,mp-558968,Mn8P8C48S4O32F48,Mn2P2C12S(O2F3)4,0.0,0.0017016391770693351,1.0,1.0,1.0,0.7332370779957685,1.0,0.9305125022662685
10948,mp-558974,Pr5Ru2O12,Pr5(RuO6)2,0.0,0.08586647011864142,1.0,1.0,1.0,0.679134287281549,1.0,0.6400260121947977
10949,mp-558977,La12Er12S36,LaErS3,1.0,0.9152511626716315,1.0,0.9468085106382979,1.0,0.785651328572277,1.0,0.9270414105438304
10950,mp-558979,V2S4N6Cl4,VS2N3Cl2,1.0,0.9161311005127984,1.0,0.9468085106382979,1.0,0.6871822535128548,1.0,0.6313523244261459
10951,mp-558980,Er6Cu2Si2S14,Er3CuSiS7,0.0,0.18978751024051047,1.0,0.7714285714285715,1.0,0.5145187592850727,1.0,0.551623898694951
10952,mp-558981,Sr4Be8B8O24,SrBe2(BO3)2,1.0,0.9999683337764529,1.0,0.9879518072289156,1.0,0.8321565177838706,1.0,0.9637230481639175
10953,mp-558982,Hg4C8O8F12,HgC2O2F3,1.0,0.9456854109542886,1.0,0.7714285714285715,1.0,0.6874258624175168,1.0,0.9635963360064526
10954,mp-558984,Ga4Te4O12F4,GaTeO3F,1.0,0.9994387282838834,1.0,0.9539748953974896,1.0,0.9047817738914451,1.0,0.9451844114652667
10957,mp-558990,K2Sr1P4O12,K2Sr(PO3)4,1.0,0.9991972625001041,1.0,0.7583333333333333,1.0,0.6825464718380105,1.0,0.9112343332194326
10958,mp-558992,In7Ge1Ir1O8,In7GeIrO8,1.0,0.5808283598722744,1.0,1.0,1.0,0.8634519123059277,1.0,0.8461255683073321
10963,mp-559004,Er2Mo2Cl2O8,ErMoClO4,1.0,0.9905172778319501,1.0,0.8333333333333334,1.0,0.6785603700741845,1.0,0.9279180709624696
10965,mp-559012,Na8Mn4P8O28,Na2MnP2O7,1.0,0.6215956069881187,1.0,0.6231884057971014,1.0,0.5857252441126372,1.0,0.6740822845393954
10966,mp-559019,Nd24S16Br4N12,Nd6S4BrN3,1.0,0.863560710881328,1.0,0.6,1.0,0.5594571359773899,1.0,0.5207909144890155
10967,mp-559020,K4Bi4P16O48,KBi(PO3)4,1.0,0.9999797558545176,1.0,0.946236559139785,1.0,0.8710415642245326,1.0,0.9345794427051501
10968,mp-559025,Ba2Er2Ag2S6,BaErAgS3,1.0,0.9968014434303847,1.0,0.7714285714285715,1.0,0.8315951777628036,1.0,0.8557848258807205
10970,mp-559028,Y8Cu8Mo16O64,YCu(MoO4)2,1.0,0.8978121636018871,1.0,0.7777777777777778,1.0,0.7075630487004894,1.0,0.7391722528611919
10973,mp-559032,Gd2Mo2Cl2O8,GdMoClO4,0.0,0.493960716331072,1.0,1.0,1.0,0.5121777483502007,1.0,0.5594681138252061
10974,mp-559033,V2S4N6Cl4,VS2N3Cl2,1.0,0.9302561061318441,1.0,0.9468085106382979,1.0,0.7373742540855298,1.0,0.7742411846490341
10979,mp-559043,K2La2Ge2S8,KLaGeS4,0.0,0.0449213128775656,1.0,0.7583333333333333,1.0,0.5649558801096872,1.0,0.7351618589933467
10981,mp-559046,Sm8Mn4Te20Cl8O52,Sm2MnTe5Cl2O13,1.0,0.6889867053210141,1.0,0.5714285714285714,1.0,0.8077349463460777,1.0,0.735337289993901
10982,mp-559052,Li2Nb6Bi8O28,LiNb3(Bi2O7)2,1.0,0.9999010109551957,1.0,1.0,1.0,0.7897017038388195,1.0,0.9796220625187239
10983,mp-559053,Na4Y4Se8O24,NaY(SeO3)2,0.0,0.33907633484156113,1.0,0.5714285714285714,1.0,0.8176823395500387,1.0,0.7661897003500122
10985,mp-559057,Nb4Tl4B8O24,NbTl(BO3)2,1.0,0.9603206400221717,1.0,0.9468085106382979,1.0,0.7954912621669022,1.0,0.6356104889639698
10988,mp-559062,K4P4O8F8,KP(OF)2,1.0,0.9836678487348022,1.0,0.7583333333333333,1.0,0.5156190222015841,1.0,0.6215384990756007
10990,mp-559064,Sn4P8Cl40O8,SnP2(Cl5O)2,1.0,0.9690475515390363,1.0,0.696969696969697,1.0,0.5184931751674753,1.0,0.5514151091991866
10992,mp-559066,Ba6Y2B18O36,Ba3Y(BO2)9,1.0,0.9999998807828598,1.0,0.946236559139785,1.0,0.8872874136914688,1.0,0.9830277363348063
10995,mp-559070,Li8Hg4P16O48,Li2Hg(PO3)4,1.0,0.9987466005195871,1.0,0.7777777777777778,1.0,0.8613882202269688,1.0,0.9524718638473864
