material_id,MP_sg,OQMD_sg,AFLOW_sg_orig,AFLOW_sg_relax
mp-1598,194,194,194,194
mp-1599,8,8,8,8
mp-1602,72,72,,
mp-1634,194,,194,194
mp-1639,216,,216,216
mp-1666,60,60,,
mp-1672,225,225,225,225
mp-1683,11,11,,
mp-1700,216,,216,216
mp-1705,15,15,,
mp-1707,11,11,11,11
mp-1714,64,64,64,64
mp-1716,60,60,,
mp-1721,204,,,
mp-1726,140,,140,140
mp-1735,139,139,139,139
mp-1745,12,12,,
mp-1746,205,205,,
mp-1747,225,225,225,225
mp-1760,122,,,
mp-1767,206,206,,
mp-1771,14,14,14,14
mp-1776,225,225,,
mp-1778,216,216,216,216
mp-1779,225,225,,
mp-1784,225,225,225,225
mp-1788,19,,19,19
mp-1794,225,225,225,225
mp-1806,14,,,
mp-1818,217,217,,
mp-1819,15,15,,
mp-1820,225,,,
mp-1821,194,194,,
mp-1836,140,,,
mp-1840,61,61,,
mp-1848,205,205,,
mp-1852,87,87,,
mp-1853,14,14,,
mp-1858,61,7,61,61
mp-1863,12,12,,
mp-1864,11,11,11,11
mp-1873,136,136,,
mp-1875,62,62,,
mp-1876,225,,,
mp-1880,40,63,,
mp-1883,225,,225,225
mp-1888,218,,,
mp-1922,205,205,205,205
mp-1933,221,221,221,221
mp-1938,60,60,60,60
mp-1943,194,,194,194
mp-1950,140,140,,
mp-1954,44,44,,
mp-1958,225,,225,225
mp-1960,225,225,225,225
mp-1968,164,164,164,164
mp-1975,225,225,,
mp-1985,176,176,176,176
mp-1986,216,216,,
mp-1990,206,,,
mp-1999,227,227,,
mp-2008,58,58,,
mp-2030,205,205,205,205
mp-2063,164,164,,
mp-2064,221,221,,
mp-2068,167,167,,
mp-2071,137,,,
mp-2072,194,194,194,194
mp-2074,225,,225,225
mp-2075,227,227,,
mp-2076,164,164,,
mp-2079,69,69,,
mp-2084,14,,,
mp-2095,62,62,62,62
mp-2097,129,,,
mp-2114,225,225,,
mp-2117,225,,,
mp-2125,61,61,,
mp-2131,70,70,,
mp-2133,186,186,,
mp-2136,56,56,,
mp-2139,62,62,62,62
mp-2142,205,,,
mp-2146,218,,,
mp-2150,140,140,140,140
mp-2160,62,62,62,62
mp-2168,63,,,
mp-2172,216,216,216,216
mp-2173,62,62,,
mp-2176,216,216,,
mp-2184,227,227,227,227
mp-2201,225,225,225,225
mp-2229,225,225,,
mp-2231,62,62,,
mp-2232,64,64,64,64
mp-2234,11,11,11,11
mp-2242,62,62,59,59
mp-2245,159,,,
mp-2247,72,,72,72
mp-2251,191,191,191,191
mp-2254,33,33,33,33
mp-2275,62,62,,
mp-2278,12,,12,12
mp-2286,225,225,225,225
mp-2292,206,,206,206
mp-2309,11,11,,
mp-2310,205,205,205,205
mp-2319,58,58,,
mp-2340,189,,189,189
mp-2341,194,194,194,194
mp-2345,206,206,206,206
mp-2352,225,225,225,225
mp-2371,87,87,87,87
mp-2392,60,60,,
mp-2395,204,,,
mp-2400,194,194,194,194
mp-2402,15,15,15,15
mp-2412,33,33,33,33
mp-2414,33,33,,
mp-2416,62,,,
mp-2437,167,167,,
mp-2447,33,33,33,33
mp-2452,43,,,
mp-2455,58,58,58,58
mp-2457,12,12,,
mp-2460,12,12,12,12
mp-2469,216,216,216,216
mp-2472,225,225,,
mp-2480,205,,205,205
mp-2482,139,,,
mp-2488,198,198,,
mp-2490,216,216,216,216
mp-2507,194,194,194,194
mp-2511,62,62,,
mp-2513,205,205,205,205
mp-2514,206,206,206,206
mp-2517,62,62,62,62
mp-2530,225,225,225,225
mp-2534,216,216,,
mp-2542,186,186,186,186
mp-2552,167,167,,
mp-2565,102,102,,
mp-2574,137,,,
mp-2576,62,,,
mp-2589,205,205,205,205
mp-2599,225,,,
mp-2600,221,221,221,221
mp-2604,205,205,205,205
mp-2605,225,225,225,225
mp-2612,225,225,225,225
