material_id,MP_sg,OQMD_sg,AFLOW_sg_orig,AFLOW_sg_relax
mp-19081,12,12,12,12
mp-19082,148,148,,
mp-19083,15,15,,
mp-19084,142,,,
mp-19085,225,225,,
mp-19086,152,,152,152
mp-19087,12,12,,
mp-19089,74,74,,
mp-19090,18,18,,
mp-19092,13,13,,
mp-19093,225,,,
mp-19096,14,14,,
mp-19097,167,167,,
mp-19098,12,12,,
mp-19101,71,71,71,71
mp-19103,4,4,,
mp-19104,13,,,
mp-19105,31,31,,
mp-19107,63,63,,
mp-19108,14,,,
mp-19109,152,152,,
mp-19110,2,2,,
mp-19111,59,42,,
mp-19112,63,63,,
mp-19114,14,14,,
mp-19116,14,14,,
mp-19117,2,2,2,2
mp-19120,63,63,,
mp-19121,141,70,,
mp-19123,36,36,,
mp-19125,2,2,,
mp-19126,141,141,,
mp-19127,225,,,
mp-19128,186,186,,
mp-19130,2,2,,
mp-19131,174,174,,
mp-19132,15,15,,
mp-19133,141,141,,
mp-19134,2,2,,
mp-19135,15,15,,
mp-19136,155,155,,
mp-19137,166,166,,
mp-19138,194,194,194,194
mp-19140,121,121,,
mp-19141,14,14,,
mp-19142,12,,,
mp-19144,14,14,,
mp-19145,217,217,,
mp-19146,14,14,,
mp-19147,167,167,,
mp-19149,12,12,,
mp-19153,227,227,,
mp-19154,36,36,36,36
mp-19155,14,14,14,14
mp-19158,148,148,,
mp-19161,14,14,,
mp-19162,141,141,,
mp-19163,88,88,,
mp-19164,71,71,,
mp-19165,130,,,
mp-19167,139,139,,
mp-19169,141,141,,
mp-19172,11,11,,
mp-19174,147,147,,
mp-19175,15,15,,
mp-19178,194,,,
mp-19179,100,,,
mp-19180,2,2,,
mp-19181,71,71,71,71
mp-19182,87,87,,
mp-19183,71,,,
mp-19184,225,225,,
mp-19185,58,58,,
mp-19187,1,1,,
mp-19188,166,166,,
mp-19190,63,63,,
mp-19193,63,63,63,63
mp-19194,2,2,,
mp-19197,140,140,140,140
mp-19198,63,11,,
mp-19199,71,71,,
mp-19201,62,62,62,62
mp-19202,227,227,,
mp-19205,62,62,,
mp-19206,65,,,
mp-19207,14,14,,
mp-19209,2,2,,
mp-19211,14,,,
mp-19212,12,12,,
mp-19215,141,141,141,141
mp-19216,186,186,,
mp-19218,71,71,,
mp-19219,31,31,,
mp-19220,15,15,,
mp-19224,167,,,
mp-19225,166,166,,
mp-19226,62,62,,
mp-19228,14,,,
mp-19230,164,164,,
mp-19232,62,62,,
mp-19234,9,9,,
mp-19238,65,65,,
mp-19239,225,225,,
mp-19240,141,141,,
mp-19241,186,186,186,186
mp-19245,123,,123,123
mp-19247,141,141,,
mp-19248,71,71,,
mp-19251,173,,,
mp-19252,139,139,139,139
mp-19254,62,62,,
mp-19256,227,227,227,227
mp-19259,217,217,,
mp-19260,15,15,,
mp-19261,11,11,,
mp-19262,227,227,,
mp-19264,14,,,
mp-19266,14,14,,
mp-19269,62,62,,
mp-19270,161,161,,
mp-19272,141,141,,
mp-19276,88,,88,88
mp-19277,85,85,,
mp-19278,2,2,,
mp-19279,164,164,164,12
mp-19280,12,12,,
mp-19281,62,62,,
mp-19282,225,225,,
mp-19287,15,15,,
mp-19290,12,12,,
mp-19291,14,14,,
mp-19292,162,162,,
mp-19293,129,129,,
mp-19294,4,,,
mp-19295,88,88,,
mp-19296,63,63,,
mp-19300,142,,,
mp-19302,63,,,
mp-19304,60,,,
mp-19308,164,164,164,164
mp-19310,148,,,
mp-19311,12,,,
mp-19312,71,71,,
mp-19313,227,227,,
mp-19314,218,,,
mp-19315,14,14,,
mp-19318,227,227,227,227
mp-19319,62,62,,
mp-19320,62,62,,
mp-19321,186,186,,
mp-19323,141,141,,
mp-19324,14,14,,
mp-19325,71,71,,
mp-19329,100,,,
mp-19330,88,88,88,88
mp-19332,71,71,71,71
mp-19333,2,,,
mp-19334,2,2,,
mp-19335,12,12,,
mp-19338,166,,166,166
mp-19341,164,,,
mp-19343,217,217,,
mp-19345,55,55,55,55
mp-19346,14,14,,
mp-19347,62,,,
mp-19348,14,14,,
mp-19349,15,15,,
mp-19351,15,15,,
mp-19352,164,164,,
mp-19353,221,221,,
mp-19359,166,166,,
mp-19360,141,141,,
mp-19362,164,164,,
mp-19363,15,15,15,15
mp-19364,62,,,
mp-19365,166,166,,
mp-19367,15,15,,
mp-19368,2,,,
mp-19369,15,,,
mp-19373,15,15,,
mp-19374,202,202,,
mp-19376,161,,,
mp-19377,14,,,
mp-19378,166,166,,
mp-19379,62,62,,
mp-19380,63,63,63,63
mp-19381,62,62,,
mp-19383,148,148,,
mp-19384,162,162,,
mp-19385,185,,,
mp-19386,166,166,,
mp-19387,13,13,,
mp-19388,148,148,,
mp-19390,221,221,,
mp-19393,55,55,,
mp-19395,87,,87,87
mp-19396,14,,,
mp-19397,69,69,69,69
mp-19398,74,,,
mp-19399,167,167,167,167
mp-19400,225,87,,
mp-19401,74,74,,
mp-19402,12,12,,
mp-19403,225,,225,225
mp-19406,148,148,,
mp-19407,13,13,,
mp-19408,62,62,,
mp-19409,162,162,,
mp-19410,227,227,,
mp-19412,121,121,,
mp-19414,121,121,,
mp-19416,71,71,71,71
mp-19417,148,148,,
mp-19418,63,63,,
mp-19419,166,,,
mp-19420,87,87,,
mp-19421,13,13,,
mp-19422,36,36,,
mp-19426,88,88,,
mp-19428,164,164,,
mp-19430,148,,,
mp-19431,156,156,,
mp-19432,15,15,,
mp-19433,156,156,,
mp-19436,148,,148,148
mp-19438,63,63,63,63
mp-19441,130,,,
mp-19442,225,225,225,225
mp-19443,129,129,,
mp-19445,65,,,
mp-19446,15,15,,
mp-19447,11,11,,
mp-19449,63,,,
mp-19450,164,164,,
mp-19452,2,2,,
mp-19453,14,,,
mp-19455,13,13,13,13
mp-19458,64,,,
mp-19460,87,,,
mp-19461,88,,,
mp-19462,14,,,
mp-19463,88,,,
mp-19464,88,,,
mp-19465,14,,,
mp-19466,128,,,
mp-19467,2,,,
mp-19468,14,,,
mp-19469,88,,,
mp-19470,8,,,
mp-19471,87,,,
mp-19472,136,,,
mp-19473,14,,,
mp-19474,2,,,
mp-19475,14,,,
mp-19476,7,,,
mp-19477,66,,,
mp-19478,14,,,
mp-19479,88,,,
mp-19480,60,,,
mp-19481,19,,,
mp-19482,14,,,
mp-19484,62,,,
mp-19485,87,,,
mp-19487,14,,,
mp-19488,14,,,
mp-19489,14,,,
mp-19490,60,,,
mp-19491,14,,,
mp-19492,19,,,
mp-19495,14,,,
mp-19496,62,,,
mp-19497,88,,,
mp-19498,33,,,
mp-19499,60,,,
mp-19501,194,,,
mp-19503,133,,,
mp-19504,142,,,
mp-19507,142,,,
mp-19508,130,,,
mp-19509,64,,,
mp-19510,14,,,
mp-19511,61,61,,
mp-19512,14,,,
mp-19513,19,,,
mp-19514,33,,,
mp-19516,60,,,
mp-19517,33,,,
mp-19518,130,,,
mp-19520,14,,,
mp-19521,60,,60,60
mp-19522,62,,,
mp-19590,14,,,
mp-19660,76,,,
mp-19710,230,,,
mp-19717,225,225,,
mp-19721,15,15,,
mp-19727,62,62,,
mp-19734,148,148,,
mp-19750,127,127,,
mp-19752,181,181,,
mp-19760,64,64,,
mp-19765,82,82,,
mp-19784,227,227,,
mp-19785,62,62,,
mp-19793,62,,,
mp-19795,58,58,58,58
mp-19799,166,,,
mp-19802,62,,,
mp-19803,227,227,227,227
mp-19817,221,,,
mp-19830,225,225,225,225
mp-19833,122,122,,
mp-19845,221,221,,
mp-19851,140,140,,
mp-19852,225,225,,
mp-19853,62,62,,
mp-19880,58,58,58,58
mp-19882,62,62,,
mp-19885,36,36,,
mp-19886,216,216,,
mp-19893,62,62,,
mp-19894,136,136,,
mp-19896,121,121,,
mp-19903,5,5,,
mp-19913,15,15,15,15
mp-19921,129,129,,
mp-19926,113,113,,
mp-19932,58,58,58,58
mp-19935,62,62,,
mp-19941,62,62,,
mp-19942,63,63,,
mp-19949,11,,,
mp-19956,129,129,,
mp-19957,144,144,,
mp-19965,229,229,,
mp-19970,136,,,
mp-19980,14,,,
mp-19985,2,2,,
mp-19992,148,148,,
mp-19996,225,225,225,225
mp-20006,138,,,
mp-20011,227,,,
mp-20014,62,,,
mp-20015,162,162,,
mp-20016,62,62,,
mp-20025,82,82,,
mp-20027,58,58,58,58
mp-20028,62,62,,
mp-20031,221,,,
mp-20032,99,99,,
mp-20042,194,194,,
mp-20046,62,62,,
mp-20052,62,62,,
mp-20056,225,225,,
mp-20066,205,205,205,205
mp-20069,12,,,
mp-20072,166,166,,
mp-20073,62,62,,
mp-20076,148,,,
mp-20078,14,,,
mp-20079,62,62,,
mp-20088,2,2,,
mp-20090,62,,,
mp-20096,148,,,
mp-20098,139,139,,
mp-20099,148,148,,
mp-20105,15,15,,
mp-20113,14,,,
mp-20117,63,63,,
mp-20134,8,8,,
mp-20143,64,,,
mp-20152,176,,176,176
mp-20156,4,4,,
mp-20157,63,63,,
mp-20161,31,31,,
mp-20162,166,166,,
mp-20179,57,57,,
mp-20185,216,,216,216
mp-20187,122,122,,
mp-20191,116,116,,
mp-20194,225,,225,225
mp-20199,14,,14,14
mp-20205,33,33,,
mp-20210,15,15,,
mp-20212,127,127,,
mp-20216,62,,,
mp-20217,14,14,,
mp-20222,14,14,,
mp-20223,62,62,,
mp-20243,62,62,,
mp-20244,62,62,,
mp-20254,74,74,,
mp-20256,72,72,,
mp-20261,82,82,,
mp-20273,221,,,
mp-20274,14,,,
mp-20282,161,161,,
mp-20283,12,12,,
mp-20289,166,166,,
mp-20299,202,202,,
mp-20302,62,62,,
mp-20305,216,216,,
mp-20310,33,33,,
mp-20313,62,62,,
mp-20316,14,14,14,14
mp-20329,194,194,,
mp-20331,62,62,62,62
mp-20337,38,38,,
mp-20343,63,63,,
mp-20351,216,,216,216
mp-20352,139,139,139,139
mp-20361,62,62,,
mp-20374,164,164,,
mp-20392,123,,123,123
mp-20396,123,,,
mp-20397,66,66,,
mp-20399,225,225,,
mp-20402,148,148,,
mp-20406,227,227,,
mp-20407,62,62,,
mp-20408,140,,,
mp-20420,166,166,,
mp-20431,14,14,,
mp-20435,9,,,
mp-20443,55,55,55,55
mp-20445,62,,,
mp-20450,55,55,,
mp-20458,166,166,,
mp-20459,99,99,,
mp-20461,12,,,
mp-20463,225,,,
mp-20470,164,164,164,164
mp-20474,31,31,,
mp-20485,194,194,194,194
mp-20488,136,,136,136
mp-20489,62,62,,
mp-20493,227,227,,
mp-20495,194,194,,
mp-20496,40,1,,
mp-20507,62,62,,
mp-20526,39,39,,
mp-20546,46,46,46,46
mp-20554,122,122,,
mp-20564,14,14,,
mp-20569,148,148,,
mp-20570,62,,,
mp-20572,221,,,
mp-20589,62,62,62,62
mp-20605,15,15,,
mp-20606,11,,,
mp-20620,225,225,,
mp-20623,227,227,,
mp-20651,62,62,,
mp-20659,167,167,,
mp-20678,13,13,,
mp-20687,14,14,,
mp-20694,199,199,,
mp-20699,62,,,
mp-20716,11,11,,
mp-20726,62,62,,
mp-20727,162,162,,
mp-20731,82,82,,
mp-20740,140,,,
mp-20742,14,14,,
mp-20758,227,227,,
mp-20763,139,139,,
mp-20767,62,62,,
mp-20772,62,62,,
mp-20778,113,113,,
mp-20782,122,122,,
mp-20783,62,62,,
mp-20790,82,82,82,82
mp-20793,164,164,,
mp-20794,87,,,
mp-20798,148,148,,
mp-20805,140,140,,
mp-20813,225,,,
mp-20815,129,129,,
mp-20817,29,29,29,29
mp-20820,205,,,
mp-20832,82,82,,
mp-20845,227,227,,
mp-20852,62,,,
mp-20854,148,148,,
mp-20863,227,227,,
mp-20878,57,57,,
mp-20882,62,62,,
mp-20884,74,,,
mp-20902,163,163,,
mp-20919,127,,,
mp-20921,164,164,,
mp-20930,166,166,,
mp-20938,12,12,,
mp-20940,26,,,
mp-20944,55,55,,
mp-20951,221,,,
mp-20968,12,12,,
mp-20974,62,62,,
mp-20980,129,129,,
mp-20986,204,204,,
mp-20988,225,225,,
mp-21016,14,14,,
mp-21036,59,59,,
mp-21043,221,,,
mp-21060,33,33,,
mp-21074,227,227,227,227
mp-21083,62,62,,
mp-21084,225,225,,
mp-21086,62,62,62,62
mp-21094,194,194,,
mp-21097,4,4,,
mp-21099,166,,,
mp-21100,62,62,,
mp-21125,62,62,,
mp-21126,12,12,,
mp-21137,55,55,,
mp-21138,12,12,,
mp-21145,123,,,
mp-21160,33,,,
mp-21166,62,62,,
mp-21179,13,13,,
mp-21183,66,66,66,66
mp-21190,11,11,,
mp-21208,150,150,,
mp-21213,15,15,,
mp-21216,33,,33,33
mp-21228,129,129,,
mp-21231,147,,,
mp-21239,147,,,
mp-21266,152,152,,
mp-21270,14,,,
mp-21272,216,,216,216
mp-21274,62,,,
mp-21275,135,135,,
mp-21276,225,225,225,225
mp-21282,147,,,
mp-21283,63,63,,
mp-21309,225,225,,
mp-21317,62,62,,
mp-21322,166,166,,
mp-21325,15,,15,15
mp-21331,164,164,,
mp-21332,62,62,,
mp-21333,227,227,227,227
mp-21355,136,136,,
mp-21365,62,62,,
mp-21374,82,82,82,82
mp-21386,154,154,,
mp-21390,62,,,
mp-21404,62,,,
mp-21405,12,12,12,12
mp-21437,136,136,,
mp-21445,139,139,,
mp-21452,55,55,,
mp-21459,33,,,
mp-21461,62,62,,
mp-21489,36,36,,
mp-21496,65,,,
mp-21497,12,12,,
mp-21498,216,,,
mp-21510,72,72,,
mp-21511,72,72,,
mp-21512,136,,,
mp-21521,36,36,,
mp-21522,55,55,,
mp-21525,142,142,,
mp-21526,142,142,,
mp-21532,2,,,
mp-21533,14,,,
mp-21535,218,,,
mp-21539,201,,,
mp-21540,15,,,
mp-21541,62,,,
mp-21547,14,,,
mp-21549,14,,,
mp-21554,176,,,
mp-21560,14,,,
mp-21562,58,,,
mp-21563,56,,,
mp-21567,224,,,
mp-21575,58,,,
mp-21577,14,,,
mp-21578,15,,,
mp-21600,62,,,
mp-21604,58,,,
mp-21609,62,62,,
mp-21611,62,,,
mp-21614,62,,,
mp-21616,218,,,
mp-21618,224,,,
mp-21622,14,,,
mp-21633,15,,,
mp-21634,64,,,
mp-21644,55,,55,55
mp-21650,212,,,
mp-21664,14,,,
mp-21665,62,,,
mp-21667,14,,,
mp-21679,12,,,
mp-21699,136,,,
mp-21705,15,,,
mp-21706,224,,,
mp-21713,15,,,
mp-21723,13,,,
mp-21724,33,,,
mp-21727,15,,,
mp-21728,2,,,
mp-21733,70,,,
mp-21735,212,212,,
mp-21741,14,,,
mp-21759,14,,,
mp-21760,14,,,
mp-21762,152,,,
mp-21766,70,,,
mp-21767,167,,,
mp-21778,60,,,
mp-21781,70,,,
mp-21792,61,,,
mp-21794,76,,,
mp-21798,14,,,
mp-21801,61,,,
mp-21807,198,,,
mp-21823,114,,,
mp-21835,14,,,
mp-21838,61,,,
mp-21855,215,215,,
mp-21858,19,19,,
mp-21867,15,15,,
mp-21872,62,,,
mp-21877,55,55,,
mp-21879,225,225,,
mp-21880,92,92,,
mp-21892,40,40,,
mp-21896,36,36,,
mp-21904,61,,,
mp-21913,14,,,
mp-21922,63,,,
mp-21925,60,,,
mp-21926,14,,,
mp-21932,230,230,,
mp-21939,61,,,
mp-21940,198,,,
mp-21943,70,,,
mp-21945,60,,,
mp-21947,61,,,
mp-21949,61,,,
mp-21950,55,,,
mp-21957,58,,,
mp-21960,198,,,
mp-21964,85,,,
mp-21971,230,,230,230
mp-21974,230,,230,230
mp-21978,15,,,
mp-21989,230,,,
mp-21996,61,,,
mp-22003,166,166,,
mp-22005,14,,,
mp-22006,85,85,,
mp-22007,12,12,,
mp-22009,42,,,
mp-22023,11,11,,
mp-22024,141,141,,
mp-22038,150,150,,
mp-22042,11,11,,
mp-22052,227,227,,
mp-22055,62,62,,
mp-22061,176,,,
mp-22067,113,,113,113
mp-22076,13,13,,
mp-22081,62,62,62,62
mp-22086,225,225,,
mp-22091,12,12,,
mp-22092,62,62,,
mp-22098,14,14,,
mp-22100,60,60,60,60
mp-22102,166,166,,
mp-22103,62,62,62,62
mp-22113,62,62,62,62
mp-22135,11,11,,
mp-22137,62,,,
mp-22139,202,202,,
mp-22147,62,62,62,62
mp-22163,167,167,,
mp-22169,88,88,,
mp-22170,63,63,,
mp-22172,162,,,
mp-22173,15,,,
mp-22175,15,15,,
mp-22184,225,225,,
mp-22186,225,225,,
mp-22189,148,148,,
mp-22192,60,60,,
mp-22196,2,,,
mp-22198,60,60,60,60
mp-22199,12,12,,
mp-22200,150,,,
mp-22203,62,,,
mp-22205,186,186,186,186
mp-22208,14,,,
mp-22212,62,62,,
mp-22213,148,148,,
mp-22216,141,141,,
mp-22219,11,,,
mp-22220,62,,62,62
mp-22223,55,55,,
mp-22224,62,62,,
mp-22225,144,144,,
mp-22230,74,,,
mp-22232,140,140,,
mp-22235,70,,,
mp-22242,12,12,,
mp-22245,159,,,
mp-22252,155,155,,
mp-22253,156,156,,
mp-22255,140,140,,
mp-22264,123,123,,
mp-22265,135,135,,
mp-22283,62,62,62,62
mp-22296,13,,,
mp-22303,12,12,,
mp-22304,82,82,82,82
mp-22313,71,,,
mp-22323,167,167,167,167
mp-22325,2,2,,
mp-22328,2,2,,
mp-22329,14,14,,
mp-22330,57,,,
mp-22334,15,,15,15
mp-22341,62,62,,
mp-22342,14,14,,
mp-22355,14,14,,
mp-22356,227,227,,
mp-22366,60,60,,
mp-22373,12,12,,
mp-22375,167,167,167,167
mp-22391,139,139,,
mp-22398,167,167,,
mp-22399,14,14,,
mp-22405,58,58,,
mp-22408,216,216,,
mp-22410,88,,,
mp-22417,62,62,,
mp-22421,227,227,227,227
mp-22427,162,162,,
mp-22428,62,,,
mp-22430,144,144,,
mp-22439,136,136,,
mp-22443,63,63,,
mp-22449,163,,,
mp-22450,15,15,,
mp-22457,164,164,,
mp-22464,44,,44,44
mp-22467,135,,,
mp-22473,166,,,
mp-22483,140,,,
mp-22484,12,,,
mp-22504,11,11,,
mp-22506,11,11,,
mp-22512,46,46,,
mp-22516,166,166,,
mp-22518,62,62,,
mp-22523,58,58,,
mp-22524,205,,,
mp-22526,166,,,
mp-22531,87,87,87,87
mp-22535,221,221,,
mp-22538,148,148,,
mp-22551,2,2,,
mp-22552,14,,,
mp-22554,63,63,,
mp-22563,11,11,11,11
mp-22564,62,,,
mp-22566,166,166,,
mp-22569,62,62,,
mp-22571,123,,,
mp-22574,62,,62,62
mp-22576,150,5,,
mp-22577,63,63,,
mp-22579,62,,,
mp-22583,5,5,,
mp-22588,62,62,,
mp-22590,62,62,,
mp-22598,206,206,206,206
mp-22599,62,62,,
mp-22604,148,148,,
mp-22607,82,82,,
mp-22608,62,62,,
mp-22614,15,15,,
mp-22616,62,62,,
mp-22621,129,129,,
mp-22628,59,59,,
mp-22630,62,62,,
mp-22633,135,135,,
mp-22634,229,229,,
mp-22638,227,227,,
mp-22647,141,,,
mp-22649,62,,,
mp-22650,202,202,,
mp-22655,33,33,,
mp-22660,166,166,,
mp-22661,163,163,,
mp-22663,166,166,,
mp-22665,14,14,14,14
mp-22681,12,,,
mp-22688,61,61,,
mp-22689,216,,,
mp-22691,160,160,160,160
mp-22694,33,,,
mp-22697,14,14,,
mp-22720,123,123,,
mp-22728,14,,,
mp-22730,70,70,,
mp-22734,55,,,
mp-22736,122,122,,
mp-22737,15,,,
mp-22747,2,2,,
mp-22748,4,4,,
mp-22750,166,166,,
mp-22754,12,12,,
mp-22756,36,36,,
mp-22774,62,,,
mp-22786,216,216,,
mp-22789,62,62,,
mp-22791,140,140,,
mp-22804,15,,,
mp-22805,156,8,,
mp-22809,4,4,,
mp-22811,122,122,,
mp-22820,62,,,
mp-22821,14,,,
mp-22822,62,,,
mp-22829,61,,,
mp-22841,61,,,
mp-22848,64,,64,64
mp-22849,148,148,148,148
mp-22851,221,221,,
mp-22853,12,12,,
mp-22854,11,,,
mp-22855,62,62,,
mp-22856,62,62,62,62
mp-22857,58,58,,
mp-22858,63,63,,
mp-22859,139,139,139,139
mp-22862,225,225,,
mp-22863,129,129,129,129
mp-22865,221,221,,
mp-22867,225,225,,
mp-22869,9,,9,9
mp-22870,63,63,,
mp-22871,193,193,,
mp-22872,62,62,,
mp-22874,57,57,,
mp-22875,221,,,
mp-22876,62,62,,
mp-22877,164,164,,
mp-22880,164,,,
mp-22881,166,166,166,166
mp-22882,58,58,,
mp-22883,166,166,,
mp-22885,139,139,,
mp-22887,62,62,,
mp-22888,58,58,,
mp-22893,164,164,,
mp-22894,186,186,186,186
mp-22895,216,216,216,216
mp-22896,176,176,,
mp-22897,139,139,,
mp-22898,225,225,,
mp-22899,225,225,,
mp-22901,221,221,,
mp-22903,225,225,,
mp-22904,136,136,136,136
mp-22905,225,225,,
mp-22906,221,221,,
mp-22908,62,62,33,31
mp-22909,122,122,,
mp-22913,216,216,,
mp-22914,216,216,,
mp-22915,221,221,221,221
mp-22916,225,225,,
mp-22917,129,129,,
mp-22919,225,,225,225
mp-22922,225,225,225,225
mp-22925,216,,216,216
mp-22930,167,167,,
mp-22932,52,,,
mp-22934,123,,,
mp-22935,139,139,,
mp-22936,166,166,,
mp-22937,139,139,,
mp-22938,62,62,,
mp-22939,129,129,129,129
mp-22945,12,12,,
mp-22946,59,59,,
mp-22947,225,225,,
mp-22949,160,160,,
mp-22950,194,194,,
mp-22951,129,129,,
mp-22955,173,173,,
mp-22956,123,123,,
mp-22957,129,129,,
mp-22958,160,160,,
mp-22959,54,54,54,54
mp-22961,227,227,,
mp-22963,14,14,,
mp-22964,129,129,,
mp-22965,156,156,,
mp-22966,43,43,43,43
mp-22967,65,65,,
mp-22968,63,63,,
mp-22969,129,129,,
mp-22971,62,62,,
mp-22974,2,2,,
mp-22975,225,225,,
mp-22976,12,12,,
mp-22977,194,194,,
mp-22978,139,139,,
mp-22979,221,221,,
mp-22981,160,160,,
mp-22982,62,62,,
mp-22983,14,14,,
mp-22984,15,15,,
mp-22987,129,129,129,129
mp-22988,160,160,,
mp-22989,62,62,,
mp-22990,166,166,,
mp-22991,194,194,,
mp-22993,121,121,121,121
mp-22994,33,33,,
mp-22995,146,146,,
mp-22996,62,62,,
mp-22997,62,62,,
mp-22999,14,14,,
mp-23004,194,194,,
mp-23005,164,164,,
mp-23008,129,129,,
mp-23009,166,166,,
mp-23011,160,160,,
mp-23015,194,194,,
mp-23017,63,,,
mp-23018,15,15,,
mp-23020,62,62,,
mp-23021,225,225,,
mp-23022,11,11,,
mp-23023,129,129,,
mp-23024,129,129,,
mp-23025,129,129,,
mp-23029,194,6,,
mp-23033,166,166,,
mp-23034,88,88,,
mp-23036,225,225,,
mp-23037,221,221,,
mp-23038,194,194,,
mp-23040,166,166,,
mp-23041,62,62,,
mp-23043,140,140,,
mp-23044,88,88,,
mp-23045,146,146,,
mp-23046,129,129,,
mp-23050,129,129,,
mp-23052,59,59,,
mp-23053,62,62,,
mp-23054,148,148,,
mp-23055,60,,,
mp-23056,166,166,,
mp-23057,129,129,,
mp-23058,129,129,,
mp-23059,225,225,,
mp-23060,225,225,,
mp-23061,59,59,,
mp-23063,186,186,186,186
mp-23064,29,29,29,29
mp-23065,63,63,,
mp-23066,12,12,,
mp-23067,225,225,,
mp-23068,129,129,,
mp-23069,173,173,173,173
mp-23070,129,129,129,129
mp-23071,61,,61,61
mp-23072,129,129,129,129
mp-23074,129,129,,
mp-23076,62,62,,
mp-23079,2,,,
mp-23080,221,221,221,221
mp-23081,139,139,,
mp-23082,14,14,,
mp-23083,191,191,,
mp-23084,63,63,,
mp-23086,62,62,,
mp-23087,29,,,
mp-23089,36,36,,
mp-23090,15,15,,
mp-23091,148,,,
mp-23092,148,148,,
mp-23093,14,14,,
mp-23094,176,,,
mp-23096,62,62,,
mp-23097,139,139,,
mp-23098,11,11,,
mp-23099,12,12,,
mp-23100,14,14,,
mp-23101,139,139,,
mp-23104,67,67,,
mp-23105,139,139,,
mp-23108,225,225,,
mp-23110,180,180,,
mp-23111,63,63,,
mp-23114,139,139,,
mp-23116,129,129,,
mp-23117,176,176,,
mp-23118,148,148,,
mp-23120,225,225,,
mp-23121,176,,,
mp-23122,196,196,,
mp-23123,129,,,
mp-23126,191,191,,
mp-23127,12,,,
mp-23130,139,139,,
mp-23131,62,,,
mp-23134,62,,,
mp-23136,15,15,,
mp-23137,225,225,,
mp-23138,63,63,,
mp-23140,19,,,
mp-23141,176,,,
mp-23144,2,2,,
mp-23145,218,,,
mp-23146,14,14,,
mp-23147,218,,,
mp-23149,218,,,
mp-23150,29,29,,
mp-23151,82,82,,
mp-23153,64,64,69,69
mp-23154,64,,64,64
mp-23155,225,,225,225
mp-23156,194,194,191,191
mp-23158,229,,229,229
mp-23160,141,141,,
mp-23162,160,160,,
mp-23164,62,62,62,62
mp-23165,148,148,,
mp-23167,221,221,,
mp-23169,11,11,,
mp-23170,14,14,14,14
mp-23173,36,36,36,36
mp-23174,166,166,,
mp-23176,194,63,,
mp-23177,139,139,,
mp-23178,164,12,,
mp-23181,61,61,,
mp-23182,205,205,,
mp-23183,176,176,,
mp-23184,176,,176,176
mp-23185,14,14,,
mp-23192,137,137,137,137
mp-23193,225,225,,
mp-23195,114,137,114,114
mp-23197,221,,,
mp-23199,62,62,62,62
mp-23202,63,63,,
mp-23205,164,,,
mp-23207,61,61,61,61
mp-23209,225,225,,
mp-23210,166,166,,
mp-23211,176,176,,
mp-23212,205,205,,
mp-23214,58,58,31,58
mp-23215,141,141,,
mp-23216,14,14,,
mp-23218,148,148,148,148
mp-23220,61,61,,
mp-23221,176,176,,
mp-23222,225,225,,
mp-23225,176,176,176,176
mp-23227,194,194,,
mp-23228,85,85,,
mp-23229,166,,,
mp-23230,62,62,,
mp-23231,225,,225,225
mp-23237,62,62,62,62
mp-23238,64,,,
mp-23250,164,12,,
mp-23251,225,225,,
mp-23256,19,,,
mp-23257,15,,,
mp-23259,225,225,,
mp-23260,62,62,62,62
mp-23261,14,,14,14
mp-23262,14,14,14,14
mp-23263,176,176,,
mp-23264,59,,,
mp-23265,176,176,,
mp-23266,205,,205,205
mp-23267,72,72,72,72
mp-23268,225,225,,
mp-23270,220,220,,
mp-23273,2,2,,
mp-23276,198,198,,
mp-23280,19,19,19,19
mp-23281,148,148,,
mp-23287,205,205,,
mp-23288,14,14,14,14
mp-23289,221,221,,
mp-23290,166,166,,
mp-23291,62,62,,
mp-23292,36,36,,
mp-23293,63,63,,
mp-23295,225,225,,
mp-23297,36,36,36,36
mp-23299,221,221,,
mp-23301,225,225,225,225
mp-23302,221,221,,
mp-23303,221,221,,
mp-23304,225,225,,
mp-23305,14,14,14,14
mp-23306,166,166,166,166
mp-23307,12,12,,
mp-23309,148,148,,
mp-23311,85,85,,
mp-23315,2,,2,2
mp-23316,61,61,61,61
mp-23317,19,19,19,19
mp-23318,62,62,,
mp-23319,194,,,
mp-23321,186,186,,
mp-23324,62,62,,
mp-23326,186,186,186,186
mp-23329,41,41,,
mp-23330,198,198,,
mp-23331,220,220,,
mp-23332,14,,,
mp-23333,198,198,,
mp-23334,39,39,,
mp-23335,139,,,
mp-23336,166,166,,
mp-23339,198,198,,
mp-23341,227,227,,
mp-23347,167,167,,
mp-23349,5,,,
mp-23350,225,225,,
mp-23352,197,197,,
mp-23353,121,121,121,121
mp-23354,194,,,
mp-23355,14,14,,
mp-23356,14,,,
mp-23357,62,62,,
mp-23358,72,72,,
mp-23360,4,4,,
mp-23361,65,65,,
mp-23363,19,19,,
mp-23364,129,129,,
mp-23366,62,62,,
mp-23370,201,,,
mp-23372,227,,,
mp-23373,52,52,,
mp-23375,62,,,
mp-23376,7,7,,
mp-23380,19,19,,
mp-23383,225,,,
mp-23384,86,,,
mp-23386,62,,,
mp-23388,14,,,
mp-23390,62,62,,
mp-23392,167,167,,
mp-23395,15,,,
mp-23396,2,2,,
