,material_id,full_formula,band_gap,is_gap_direct,direct_gap,p_ex1_norm,p_ex1_degen,n_ex1_norm,n_ex1_degen,cbm_hybridization,cbm_character_1,cbm_specie_1,cbm_location_1,cbm_score_1,vbm_hybridization,vbm_character_1,vbm_specie_1,vbm_location_1,vbm_score_1
9983,mp-8884,Zn2Te2,1.1002999999999998,1.0,1.1002999999999998,0.0,1.0,0.0,1.0,2.0356326225418284,s,Zn,0.333333;0.666667;0.000482,0.2827685485264145,1.3690989967661007,p,Te,0.666667;0.333333;0.874518,0.4123853529106585
9984,mp-8888,Ho4Al12Pb8O32,2.9941,0.0,3.1674,0.0,1.0,0.8660254037844386,1.0,3.612685596026795,p,Pb,0.616076;0.616076;0.616076,0.09517958627796347,3.863280582273642,p,O,0.136734;0.136734;0.136734,0.04196712826375662
9985,mp-8890,Cs2Sb4S8,1.4476999999999998,0.0,1.7041999999999995,0.5,1.0,0.7071067811865476,1.0,3.0656009831010134,p,Sb,0.185098;0.355766;0.44485,0.09238049988421304,2.4583950291175958,p,S,0.429736;0.92983;0.079954,0.2096652198734952
9986,mp-8898,Ta4Al4O16,3.2820000000000005,0.0,3.3381000000000003,0.39285714,2.0,0.0,1.0,2.1569385371159644,d,Ta,0.5;0.25;0.331479,0.20904280204117714,2.9082818677459046,p,O,0.77434;0.919367;0.312719,0.07375199043243556
9987,mp-8921,Cd4P6S1N12,2.9902,0.0,3.055,0.5,6.0,0.0,1.0,3.0416031555504377,s,S,0.0;0.0;0.0,0.15247890156966826,2.8756066418763537,p,N,0.425026;0.714832;0.0,0.07582711847519387
9988,mp-8922,Cd1Sb2O6,1.4257000000000004,0.0,1.7437,0.5848458819617355,6.0,0.0,1.0,2.6065456872527526,s,Cd,0.0;0.0;0.0,0.17088220361149448,1.990912697249311,p,O,0.366596;0.366596;0.723282,0.15794627654606272
9989,mp-8926,Li6B2N4,3.4548,0.0,3.992,0.8660254037844386,1.0,0.14142135623730953,4.0,2.9351973098431516,p,Li,0.0;0.0;0.5,0.1126649750432092,1.8655127393984348,p,N,0.296253;0.703747;0.5,0.2198641712329048
9990,mp-8927,Ta1Cu1N2,0.4896000000000002,0.0,0.8185000000000002,0.8660254037844386,1.0,0.5,3.0,1.3653254479626593,d,Ta,0.5;0.5;0.5,0.6178971608801431,1.1922295040501192,d,Cu,0.0;0.0;0.0,0.6462714371263929
9991,mp-8930,K4Ge2As4,0.8442000000000001,0.0,0.9212999999999998,0.8660254037844386,1.0,0.8164988603977673,2.0,2.613127819940701,s,Ge,0.5;0.75;0.25,0.14544961112606025,1.845732029385435,p,As,0.774532;0.603842;0.17069,0.2261072282621966
9992,mp-8931,Rb4Sn2As4,0.6809999999999998,0.0,0.9408999999999998,0.8660254037844386,1.0,0.0,1.0,2.563842866519103,s,Sn,0.5;0.75;0.25,0.16543672529319425,1.8454921944355769,p,As,0.21632;0.396542;0.819778,0.22473322088475794
9993,mp-8932,Cs4Si2P4,1.2699000000000005,0.0,1.7680000000000002,0.8660254037844386,1.0,0.3858651877181857,2.0,2.9085671466049177,s,Si,0.5;0.75;0.25,0.10387489715713444,1.7460325226103048,p,P,0.560043;0.912764;0.647279,0.2317586655585373
9994,mp-8934,Cs4Sn2As4,0.7669000000000001,0.0,1.0469,0.8660254037844386,1.0,0.0,1.0,2.5675641102005016,s,Sn,0.5;0.25;0.75,0.16135150110736893,1.909329568137339,p,As,0.426346;0.098992;0.327354,0.21963264920312067
9995,mp-8936,Sn2Se2,0.8559,1.0,0.8559,0.6403124237432849,4.0,0.6403124237432849,4.0,1.6318943585629135,p,Sn,0.5;0.0;0.386215,0.3681366196146405,1.7599377551388735,p,Se,0.5;0.0;0.611156,0.30447603403001466
9996,mp-9248,Cu4Si2S6,1.197,0.0,1.383,0.7349435827604707,2.0,0.0,1.0,2.946854905249406,s,Si,0.668488;0.668488;0.010664,0.11031849674702382,2.2408803849756205,d,Cu,0.323584;0.001652;0.98043,0.17584701147437218
9997,mp-9252,Hg3S3,1.7035,0.0,1.7277,0.28571429,2.0,0.0,1.0,2.476930722927136,p,S,0.543488;0.543488;0.5,0.14405011955522642,1.8293094290218108,p,S,0.543488;0.543488;0.5,0.2641539977332173
9998,mp-9258,Si4O8,4.0091,1.0,4.0091,0.0,1.0,0.0,1.0,2.786881503154972,s,Si,0.5;0.0;0.5,0.1286428968989985,2.205372172685812,p,O,0.15621;0.65621;0.84379,0.12276558901254833
9999,mp-9897,Te3As2,0.3901000000000003,0.0,0.4972000000000003,0.8760826193178681,6.0,0.17459617597335628,6.0,2.0321062051595766,p,As,0.604892;0.604892;0.604892,0.2416729629788456,1.7297463475252632,p,Te,0.0;0.0;0.0,0.2954007476038316
10000,mp-1070737,K3C1O1,0.2934,0.0,0.3615,0.0,1.0,0.5,3.0,1.3002779493434105,p,C,0.5;0.5;0.5,0.6493317080472132,0.5066251845020566,p,O,0.0;0.0;0.0,0.9059480859785788
10001,mp-11342,Ga2Se2,1.2294,0.0,1.2383,0.8682628571919562,6.0,0.8660254037844386,1.0,2.16393499185712,s,Ga,0.04632;0.04632;0.04632,0.18652467452150745,1.6628318162687599,p,Se,0.242543;0.242543;0.242543,0.3152768404896629
10002,mp-1179562,V8Ni4P8H24O52,,,,,,,,,,,,,,,,,
10003,mp-1180967,K4Fe4Pb4O4F24,1.4272999999999998,0.0,1.4393,0.8660254037844386,1.0,0.7071067811865476,1.0,0.8941420207340709,p,O,0.935824;0.07775;0.505171,0.4841266338484817,2.7871880019015265,d,Fe,0.722677;0.745078;0.226393,0.11974427004786335
10004,mp-1182712,Ca2H16Br4O24,,,,,,,,,,,,,,,,,
10005,mp-1185576,Cs4Yb4I12,3.8091,0.0,3.8141,0.7071067811865476,1.0,0.0,1.0,3.183512087438784,d,Yb,0.5;0.5;0.5,0.11654774405963444,2.6748047980260536,p,I,0.94436;0.002742;0.25,0.0839902176791129
10006,mp-1189013,K2Pt1N4O10,,,,,,,,,,,,,,,,,
10007,mp-1191319,Na2Al1P4O14,,,,,,,,2.39630397803674,p,O,0.666273;0.046896;0.566803,0.16694364311305035,2.639272394726607,p,O,0.666273;0.046896;0.566803,0.10230026122582103
10008,mp-1191495,K4Cu2Te2O14,,,,,,,,2.7610415380429374,p,O,0.637684;0.413985;0.782609,0.10758523652944467,2.6071417626684084,p,O,0.356307;0.349625;0.515692,0.13351588344284535
10009,mp-1192277,Mn2C10I2O10,2.5815,0.0,2.6052,0.0,1.0,0.7071067811865476,1.0,2.9879009836682284,d,Mn,0.855246;0.144754;0.75,0.1349696177474073,1.514735243616364,p,I,0.10209;0.89791;0.75,0.3739928716041418
10010,mp-1192709,Cs6Ho4Br18,,,,,,,,,,,,,,,,,
10011,mp-1196026,Cs1Er10C4I18,,,,,,,,,,,,,,,,,
10012,mp-1196471,Cs8Co6F20,,,,,,,,,,,,,,,,,
10013,mp-1198034,Cd4H20Br12N8,,,,,,,,,,,,,,,,,
10014,mp-1198373,K12Nd4Si24O60,,,,,,,,,,,,,,,,,
10015,mp-1198411,U22Pb6O72,,,,,,,,,,,,,,,,,
10016,mp-1198694,Cs4V4P4O20,,,,,,,,,,,,,,,,,
10017,mp-1199227,S24N24Cl24O16,,,,,,,,,,,,,,,,,
10018,mp-1199318,Co8Sn4C32Se4O32,,,,,,,,,,,,,,,,,
10019,mp-1199834,Cr16Xe20F176,,,,,,,,,,,,,,,,,
10020,mp-1200032,Na6Te1Mo6H44O46,,,,,,,,,,,,,,,,,
10021,mp-1201249,Mn2Fe4Pb16F48,,,,,,,,,,,,,,,,,
10022,mp-1201930,Na12Sr16Cr20F104,,,,,,,,,,,,,,,,,
10023,mp-1202181,Li4V4P4O22,,,,,,,,,,,,,,,,,
10024,mp-1202688,Gd4S6O40,,,,,,,,,,,,,,,,,
10025,mp-1202888,K8In4Br20O4,0.4118000000000001,0.0,0.4142,0.3125,2.0,0.1875,2.0,2.2871855795535474,p,O,0.993898;0.75;0.982584,0.19662736341015527,3.1986184616349185,p,Br,0.804362;0.502553;0.097065,0.06687522278154015
10026,mp-1203202,Ru6C18Se4O18,,,,,,,,,,,,,,,,,
10027,mp-1203289,Cs16Ge16Sb16O80,,,,,,,,,,,,,,,,,
10028,mp-1203441,Si32C12Cl80,,,,,,,,,,,,,,,,,
10029,mp-1203654,La16Si8I16O32,,,,,,,,,,,,,,,,,
10030,mp-1203684,S24N24Cl24O8,,,,,,,,,,,,,,,,,
10031,mp-1204008,Mn4Hg2C20O20,2.9755000000000003,0.0,2.9792,0.6403124237432849,2.0,0.5590169943749475,2.0,3.8339346474201763,p,C,0.509154;0.584129;0.593925,0.03899770216962112,3.3003013980601086,d,Mn,0.849003;0.813628;0.120321,0.10539074113598576
10032,mp-1204479,Na2Se8O24,,,,,,,,,,,,,,,,,
10033,mp-1213486,Fe8H8Se12O40,,,,,,,,,,,,,,,,,
