Band gap,Band gap-units,Band gap-conditions,Band gap-methods,Band gap-dataType,Band gap energy (E$_g^{expt}$),Band gap energy (E$_g^{expt}$)-units,Band gap energy (E$_g^{expt}$)-dataType,Band gap energy (E$_g^{GW}$),Band gap energy (E$_g^{GW}$)-units,Band gap energy (E$_g^{GW}$)-methods,Band gap energy (E$_g^{DFT+U}$),Band gap energy (E$_g^{DFT+U}$)-units,Band gap energy (E$_g^{DFT+U}$)-methods,chemicalFormula,references,Crystallinity,Structure,Crystal structure
1,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,K3Sb1,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
1.1,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Eu1O1,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
2.062,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,As2S3,[{'doi': '10.1063/1.3253115'}],Amorphous,,
0.336,eV,"[{'name': 'Electric field polarization', 'scalars': [{'value': 'Perpendicular to C axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Te,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.3,eV,"{'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Bi2S3,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
2.4,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Estimated'},EXPERIMENTAL,,,,,,,,,,Na2S1,[{'doi': '10.1063/1.3253115'}],,,
2.48,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,As2S3,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
0.1,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Sb,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
3.8,eV,"{'name': 'Temperature', 'scalars': [{'value': '10'}], 'units': 'K'}",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Hg2Cl2,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.81,eV,,{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,As2Se3,[{'doi': '10.1063/1.3253115'}],Amorphous,,
0.15,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Bi2Te3,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.29,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Photoconduction'},EXPERIMENTAL,,,,,,,,,,Cu2Se1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
3.08,eV,"{'name': 'Temperature', 'scalars': [{'value': '593'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Dy2O3,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
0.69,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Estimated'},EXPERIMENTAL,,,,,,,,,,Ti1Se2,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
3.58,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Tl1N3,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
1.737,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '195'}], 'units': 'K'}]",,EXPERIMENTAL,,,,,,,,,,Mg2Ge1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
3.5,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Th1O2,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
0.9,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Er2Te3,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
2.21,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Sn1S2,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.275,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Pb1Se1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2.36,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Photoconduction'},EXPERIMENTAL,,,,,,,,,,As2S3,[{'doi': '10.1063/1.3253115'}],Amorphous,,
0.33,eV,,{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Ge1Te1,[{'doi': '10.1063/1.3253115'}],,,
0.8,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",,EXPERIMENTAL,,,,,,,,,,Ge1Sn1,[{'doi': '10.1063/1.3253115'}],,,
0.78,eV,,{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Mg2Si1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.83,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '290'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Mo1S2,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2.49,eV,"{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Sb1I3,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2.27,eV,"[{'name': 'Transition', 'scalars': [{'value': 'G15 to G1'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Electroreflection'},EXPERIMENTAL,,,,,,,,,,Mg2Si1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2.81,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '23'}], 'units': 'K'}]",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Zn1Se1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.6,eV,"{'name': 'Temperature', 'scalars': [{'value': '100'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,I,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
4.5,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Photoconduction'},EXPERIMENTAL,,,,,,,,,,Rb2Te1,[{'doi': '10.1063/1.3253115'}],,,
1.11,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,In2Te3,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
3.59,eV,,,EXPERIMENTAL,,,,,,,,,,Ga2S3,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.02,eV,"{'name': 'Temperature', 'scalars': [{'value': '373'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Hg1O1,[{'doi': '10.1063/1.3253115'}],,,
5.63,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Ge1O2,[{'doi': '10.1063/1.3253115'}],Amorphous,,
0.165,eV,"{'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Pb1Se1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.4,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Pd1Se2,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
3.71,eV,"{'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Ge1S2,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.024,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",,EXPERIMENTAL,,,,,,,,,,Bi0.9Sb0.1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.25,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Nb1O2,[{'doi': '10.1063/1.3253115'}],,,
0.8,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Ru1As2,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
0.22,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Sm1S1,[{'doi': '10.1063/1.3253115'}],,,
1.714,eV,"[{'name': 'Electric field polarization', 'scalars': [{'value': 'Perpendicular to C axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}]",{'name': 'Photoconduction'},EXPERIMENTAL,,,,,,,,,,Cd1Sc1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
5.9,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Al1N1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
6.4,eV,"{'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}",,EXPERIMENTAL,,,,,,,,,,Cs1I1,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
3.31,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Pb1Br2,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
0.176,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}]",{'name': 'Magnetoabsorption'},EXPERIMENTAL,,,,,,,,,,Pb1Se1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.293,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,In1Se1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
5.89,eV,"{'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Na1I1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
4.4,eV,,{'name': 'Estimated'},EXPERIMENTAL,,,,,,,,,,Ca1B6,[{'doi': '10.1063/1.3253115'}],,,
1.13,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Ga2Te3,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.16,eV,"{'name': 'Temperature', 'scalars': [{'value': '873'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Sr1O1,[{'doi': '10.1063/1.3253115'}],,,
8.69,eV,"[{'name': 'Transition', 'scalars': [{'value': 'G15 to G1'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}]",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,K1Cl1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2.582,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '4.2'}], 'units': 'K'}]",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Cd1S1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
3.252,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '4.2'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Ag1Cl1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2.25,eV,,,EXPERIMENTAL,,,,,,,,,,Al1As1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.77,eV,"{'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Ge1Te1,[{'doi': '10.1063/1.3253115'}],Amorphous,,
3.9,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Sn1O2,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
6,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",,EXPERIMENTAL,,,,,,,,,,Cd1F2,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
7.13,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,K1Br1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.45,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Ge1As1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2.235,eV,"{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Ga1P1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.65,eV,"[{'name': 'Electric field polarization', 'scalars': [{'value': 'Perpendicular to C axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}]",,EXPERIMENTAL,,,,,,,,,,Zn1P2,[{'doi': '10.1063/1.3253115'}],,,
2.223,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Ga1P1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
3.306,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Excitonic'}]}, {'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Cu1Cl1,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
0.185,eV,"{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Mg2Sn1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.57,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '4.2'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Mg2Ge1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2.02,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Cu2O1,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
2.2,eV,"{'name': 'Temperature', 'scalars': [{'value': '800'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Al2Te3,[{'doi': '10.1063/1.3253115'}],,,
0.02,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,CrTe,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
2,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Si2Te3,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.27,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,B1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.9,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Sb1Si1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2.6,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,As1Br3,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
0.77,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Fe1Sc2,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
0.88,eV,,{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Fe1Si2,[{'doi': '10.1063/1.3253115'}],,,
1.55,eV,"[{'name': 'Electric field polarization', 'scalars': [{'value': 'Perpendicular to C axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}]",,EXPERIMENTAL,,,,,,,,,,Cd1P2,[{'doi': '10.1063/1.3253115'}],,,
2.5,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Al2Te3,[{'doi': '10.1063/1.3253115'}],,,
7.7,eV,"{'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Rb1Br1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.48,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Mn1Te2,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
1.804,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '10'}], 'units': 'K'}]",,EXPERIMENTAL,,,,,,,,,,Mg2Ge1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.23,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Cu2Se1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
7.2,eV,"[{'name': 'Transition', 'scalars': [{'value': 'G8 to G6+'}]}, {'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '80'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Rb1Br1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.6,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",,EXPERIMENTAL,,,,,,,,,,Cs3Sb1,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
1,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Cd1P4,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
7,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Photoconduction'},EXPERIMENTAL,,,,,,,,,,Al2O3,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.5,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",,EXPERIMENTAL,,,,,,,,,,Pb1O2,[{'doi': '10.1063/1.3253115'}],,,
2.28,eV,,{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,In2S3,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.62,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Cr2O3,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
3.6,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Gd1B6,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
7.02,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '295'}], 'units': 'K'}]",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,C,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2.27,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Electroreflection'},EXPERIMENTAL,,,,,,,,,,Mg2Si1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
2.55,eV,"[{'name': 'Electric field polarization', 'scalars': [{'value': 'Perpendicular to C axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Sn1O2,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.026,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,In2Te3,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
0.09375,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '293'}], 'units': 'K'}]",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Ce2Se3,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.4,eV,,{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Sb2Se3,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
5.13,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Ag1Cl1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1.72,eV,"[{'name': 'Electric field polarization', 'scalars': [{'value': 'Parallel to C axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Si1Se2,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
3.3,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '296'}], 'units': 'K'}]",{'name': 'Electroreflection'},EXPERIMENTAL,,,,,,,,,,Ti1O2,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.23,eV,"{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Mg2Sn1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
3.55,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,In2O3,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
2,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}]",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Zr1Se2,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.02,eV,"{'name': 'Temperature', 'scalars': [{'value': '4.2'}], 'units': 'K'}",,EXPERIMENTAL,,,,,,,,,,Ti2O3,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
1,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Ru1P2,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
2.47,eV,,{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Hg1I2,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.6,eV,,{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Rh1Se2,[{'doi': '10.1063/1.3253115'}],,,
3.73,eV,"{'name': 'Temperature', 'scalars': [{'value': '113'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Sr1Te1,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
2.64,eV,"[{'name': 'Electric field polarization', 'scalars': [{'value': 'Parallel to C axis'}]}, {'name': 'Transition', 'scalars': [{'value': 'Indirect'}]}, {'name': 'Temperature', 'scalars': [{'value': '90'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,As2S3,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
4.8,eV,"{'name': 'Temperature', 'scalars': [{'value': '70'}], 'units': 'K'}",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,Sr1S1,[{'doi': '10.1063/1.3253115'}],Single crystalline,,
0.05,eV,,{'name': 'Thermal activation'},EXPERIMENTAL,,,,,,,,,,Ag2Se1,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
4.47,eV,"{'name': 'Temperature', 'scalars': [{'value': '300'}], 'units': 'K'}",{'name': 'Reflection'},EXPERIMENTAL,,,,,,,,,,Cd1Br2,[{'doi': '10.1063/1.3253115'}],Polycrystalline,,
2.35,eV,"[{'name': 'Transition', 'scalars': [{'value': 'Direct'}]}, {'name': 'Temperature', 'scalars': [{'value': '77'}], 'units': 'K'}]",{'name': 'Absorption'},EXPERIMENTAL,,,,,,,,,,As2S6,[{'doi': '10.1063/1.3253115'}],Amorphous,,
