,jarvis_bg_tbmbj,jarvis_bg_opt,jarvis_spillage
335,2.4728,0.9654,
336,,,
337,,,
338,,,
339,,,
340,1.2734,0.6132,0.081
341,,,
342,1.2192,0.3869,0.019
343,2.2763,1.6807,
344,,,
345,2.2333,1.0565,
346,,,
347,,,
348,2.5564,1.0781,
349,1.4744,1.0176,
350,3.2103,2.8814,
351,,,
352,,1.3199,
353,,,
354,,,
355,2.3841,1.2919,
356,,,
357,,,
358,,,
359,,,
360,,,
361,1.9192,1.2002,
362,3.4049,1.4817,
363,,,
364,,,
365,2.2969999999999997,1.6280000000000001,
366,,,
367,,,
368,1.4485,0.9558,
369,,,
370,,,
371,2.7567,1.2785,
372,,1.2144,
373,,,
374,,,
375,8.494,7.8743,
376,1.24,1.2253,
377,,,
378,,,
379,,,
380,5.5037,4.0305,
381,5.7629,4.2054,
382,2.5204,0.9928,
383,4.9578,3.4049,
384,,,
385,2.6210000000000004,1.4437,
386,0.5494,0.5032,0.222
387,,,
388,2.45,1.4998,
389,5.5518,4.4413,
390,,,
391,,1.6903,
392,0.5246,0.2887,
393,3.0448,2.6048,
394,,,
395,,8.0396,
396,,1.2519,
397,,1.2996,
398,4.6002,4.0296,
399,,,
400,5.4065,3.931,
401,,,
402,1.1754,0.7678,
403,1.7275,1.1002,
404,5.29,3.7424,
405,,,
406,1.7769,1.3217,
407,,,
408,,,
409,,0.9189,
410,,0.2535,
411,,,
412,,7.7789,
413,,4.3066,
414,6.7448,5.4319,
415,2.0697,1.7688,
416,,3.713,
417,,,
418,,,
419,4.8343,2.6955,
420,,,
421,0.1636,0.1989,0.386
422,0.6265,0.4397,0.431
423,4.2485,3.1005,
424,5.2665,3.1593,
425,,,
426,,,
427,4.6383,3.0414,
428,,,
429,,,
430,,,
431,5.3153,3.9598,
432,,,
433,,,
434,3.8114,2.7844,
435,0.0413,0.0103,0.093
436,,,
437,,,
438,,,
439,1.3371,0.9224,
440,,,
441,,,
442,,,
443,3.9561,3.1909,
444,2.0474,0.3272,
445,,,
446,,,
447,4.6576,2.9593,
448,,,
449,,,
450,,,
451,,,
452,,,
453,,,
454,0.0963,0.19699999999999998,0.059
455,,,
