,jarvis_bg_tbmbj,jarvis_bg_opt,jarvis_spillage
5992,7.5821,5.3358,
5993,5.5209,4.2451,
5994,5.0517,3.7482,
5995,6.2229,4.4097,
5996,,,
5997,,,
5998,,,
5999,,2.0638,
6000,3.8642,3.5349,
6001,,,
6002,2.3978,1.805,
6003,,2.8392,
6004,,,
6005,2.7404,1.8197,
6006,,,
6007,,,
6008,2.6672,1.9451,
6009,,5.5533,
6010,,,
6011,,5.6998,
6012,,4.1292,
6013,,2.1391,
6014,,,
6015,,,
6016,,,
6017,,,
6018,5.6979,4.4533,
6019,,0.8255,
6020,,3.8676,
6021,5.6846,3.9729,
6022,2.2375,1.7163,
6023,,,
6024,,,
6025,,,
6026,,,
6027,,,
6028,,,
6029,,,
6030,4.0014,3.145,
6031,,1.8477,
6032,,,
6033,,,
6034,,,
6035,,,
6036,,,
6037,,,
6038,,,
6039,2.9742,1.9928,
6040,,,
6041,2.3931,1.9247,
6042,,,
6043,,,
6044,,,
6045,,3.5804,
6046,6.2951,4.0602,
6047,2.4813,1.6702,
6048,,,
6049,,,
6050,,,
6051,,,
6052,,,
6053,,,
6054,,,
6055,,,
6056,4.0226,2.7403,
6057,,,
6058,,2.1345,
6059,2.3975,1.2156,
6060,,2.9055,
6061,,,
6062,1.7593,1.4849,
6063,3.4243,1.9072,
6064,,2.7486,
6065,,,
6066,,,
6067,,,
6068,,,
6069,,2.8431,
6070,,,
6071,,,
6072,7.233,5.4153,
6073,,0.5566,
6074,,,
6075,,,
6076,,,
6077,,2.9282,
6078,4.1565,2.4447,
6079,3.8229,2.4541,
6080,,,
6081,,,
6082,,,
6083,,,
6084,,,
6085,,,
6086,,,
6087,,,
6088,,0.5529999999999999,0.491
6089,2.0191,0.9023,
6090,,,
6091,,,
6092,,,
6093,,,
6094,,,
6095,2.1218,1.0657,
6096,0.0221,0.7883,
6097,,,
6098,,0.7734,
6099,,,
6100,,,
6101,,,
6102,,,
6103,5.8396,3.6819,
6104,,,
6105,,,
6106,1.1204,0.6778,
6107,3.7046,2.1673,
6108,,,
6109,5.6517,3.7579,
6110,3.457,2.8274,
6111,2.3668,1.8937,
6112,,,
6113,2.5054,2.2408,
6114,2.1625,1.6459,
6115,2.4072,1.7666,
6116,,,
6117,,,
6118,,2.9291,
6119,2.2016,1.9229,
6120,,4.6834,
6121,,,
6122,1.1574,0.7114,
6123,,1.5092,
6124,5.9084,3.7601,
6125,2.0784,0.8193,
6126,,2.9718,
6127,,2.3501,
6128,,,
6129,,,
6130,,,
6131,,6.1314,
6132,,,
6133,5.4281,3.1375,
6134,,,
6135,,,
6136,,,
6137,,2.9929,
6138,,3.6146,
6139,,,
6140,,,
6141,,,
6142,,,
6143,,,
6144,,,
6145,,,
6146,,0.8357,0.565
6147,,,
6148,,,
6149,,,
6150,,,
6151,,,
6152,,,
6153,,1.4784,
6154,,,
6155,,,
6156,,,
6157,,,
6158,,,
6159,,,
6160,,,
6161,3.2023,2.1313,
6162,,5.3828,
6163,,,
6164,,,
6165,,,
6166,,,
6167,,,
6168,,,
6169,,,
6170,,,
6171,,,
6172,,,
6173,,,
6174,,,
6175,2.8849,2.6118,
6176,,,
6177,,,
6178,,,
6179,,,
6180,,,
6181,,,
6182,,,
6183,,,
6184,,4.2957,
6185,,4.2238,
6186,,5.0831,
6187,,,
6188,,,
6189,,,
6190,5.8812,4.2277,
6191,,,
6192,,,
6193,,,
6194,,,
6195,,,
6196,,,
6197,,,
6198,,,
6199,,6.2607,
6200,,,
6201,,,
6202,,,
6203,,,
6204,,,
6205,,,
6206,,,
6207,,,
6208,,5.7105,
6209,,,
6210,,,
6211,,,
6212,,,
6213,5.7162,3.0875,
6214,,,
6215,6.6006,4.6643,
6216,,,
6217,5.6732,3.9833,
6218,3.8511,2.3712,
6219,4.5068,3.3015,
6220,4.6167,3.3662,
6221,3.9873,2.9992,
6222,,,
6223,,,
6224,,2.3268,
6225,5.1547,3.7443,
6226,,,
6227,,,
6228,7.4466,5.394,
6229,3.1115,1.6672,
6230,5.8803,3.6767,
6231,,,
6232,,,
6233,,4.2921,
6234,5.4997,3.4712,
6235,,2.8584,
6236,7.7896,6.1443,
6237,,5.3183,
6238,,,
6239,,5.2386,
6240,,,
6241,,,
6242,,,
6243,,,
6244,,,
6245,,,
6246,,,
6247,8.6298,6.4147,
6248,2.9741,1.6785,
6249,,,
6250,,4.4083,
6251,,,
6252,6.2701,4.3147,
6253,,,
6254,,,
6255,,,
6256,,,
6257,,,
6258,,,
6259,,,
6260,,,
6261,,,
6262,,,
6263,,,
6264,,,
6265,,,
6266,,,
6267,,,
6268,,,
6269,,,
6270,,,
6271,,,
6272,,,
6273,,,
6274,,,
6275,,,
6276,,,
6277,,,
6278,,,
6279,,,
6280,,,
6281,,,
6282,,,
6283,,,
6284,,,
6285,,,
6286,,,
6287,,,
6288,,,
6289,,,
6290,,,
6291,,,
6292,,,
6293,,,
6294,,,
6295,,,
6296,,,
6297,,,
6298,,,
6299,,,
6300,4.6126,2.0593,
6301,,,
6302,,,
6303,,,
6304,,,
6305,,,
6306,,,
6307,,,
6308,,,
6309,,,
6310,,,
6311,,,
6312,,,
6313,,,
6314,,,
6315,,,
6316,,,
6317,,,
6318,,,
6319,,,
6320,,,
6321,,,
6322,,,
6323,,,
6324,,,
6325,,,
6326,,,
6327,,,
6328,,,
6329,,,
6330,,,
6331,,,
6332,,,
6333,,,
6334,,,
6335,,,
6336,,,
6337,,,
6338,,,
6339,,,
6340,,,
6341,,,
6342,,,
6343,,,
6344,,,
6345,,,
6346,,,
6347,,,
6348,,,
6349,,,
6350,,,
6351,,,
6352,,,
6353,,,
6354,,,
6355,,,
6356,,,
6357,,,
6358,,,
6359,,,
6360,,,
6361,,,
6362,,,
6363,,,
6364,,,
6365,,,
6366,,,
6367,,,
6368,,,
6369,,,
6370,,,
6371,,,
6372,,,
6373,,,
6374,,,
6375,,,
6376,,,
6377,,,
6378,,,
6379,,,
6380,,,
6381,,,
6382,,,
6383,,,
6384,,,
6385,,,
6386,,,
6387,,,
6388,,,
6389,,,
6390,,,
6391,,,
6392,,,
6393,,,
6394,,,
6395,,,
6396,,,
6397,,,
6398,,,
6399,,,
6400,,,
6401,,,
6402,,,
6403,,,
6404,,,
6405,,,
6406,,,
6407,,,
6408,,,
6409,5.471,3.2364,
6410,,,
6411,,,
6412,,,
6413,,,
6414,,,
6415,,,
6416,,,
6417,,,
6418,,,
6419,,,
6420,,,
6421,,,
6422,,,
6423,,,
6424,,,
6425,,,
6426,,,
6427,,,
6428,,,
6429,,,
6430,,,
6431,,,
6432,,,
6433,,,
6434,,,
6435,,,
6436,,,
6437,,,
6438,,,
6439,,,
6440,,,
6441,,,
6442,,,
6443,,,
6444,,,
6445,,,
6446,,,
6447,,,
6448,,,
6449,,,
6450,,,
6451,,,
6452,,,
6453,,,
6454,,,
6455,,,
6456,,,
6457,,,
6458,,,
6459,,,
6460,,,
6461,,,
6462,,,
6463,,,
6464,,,
6465,,,
6466,,,
6467,,,
6468,,,
6469,,,
6470,,,
6471,,,
6472,,,
6473,,,
6474,,,
6475,,,
6476,,,
6477,,,
6478,,,
6479,,,
6480,,,
6481,,,
6482,,,
6483,,,
6484,,,
6485,,,
6486,,,
6487,,,
6488,,,
6489,,,
6490,,,
6491,,,
6492,,,
6493,,9.1062,
6494,,,
6495,,,
6496,,,
6497,,,
6498,,,
6499,,,
6500,,,
6501,,,
6502,,,
6503,,,
6504,,,
6505,,,
6506,,,
6507,,,
6508,,,
6509,,,
6510,,,
6511,,,
6512,,,
6513,,,
6514,,,
6515,,,
6516,,,
6517,,,
6518,,,
6519,,,
6520,,,
6521,,,
6522,,,
6523,,,
6524,,,
6525,,,
6526,,,
6527,2.3836,2.1793,
6528,,,
6529,,,
6530,,,
6531,,,
6532,,,
6533,,,
6534,,,
6535,,,
6536,,,
6537,,,
6538,,,
6539,,,
6540,,,
6541,,,
6542,,,
6543,,,
6544,,,
6545,,,
6546,,,
6547,,,
6548,,,
6549,,,
6550,,,
6551,,,
6552,,,
6553,,,
6554,,,
6555,,,
6556,,,
6557,,,
6558,,,
6559,,,
6560,,,
6561,,,
6562,,,
6563,,,
6564,,,
6565,,,
6566,,,
6567,,,
6568,,,
6569,,,
6570,,,
6571,,,
6572,,,
6573,,,
6574,,,
6575,,,
6576,,,
6577,,,
6578,,,
6579,,,
6580,,,
6581,,,
6582,,,
6583,,,
6584,,,
6585,,,
6586,,,
6587,2.7506,2.721,
6588,5.0938,2.6757,
6589,,,
6590,,,
6591,,,
6592,,,
6593,,,
6594,,,
6595,,,
6596,,,
6597,,,
6598,,,
6599,5.892,4.3247,
6600,,,
6601,,,
6602,,,
6603,,,
6604,,,
6605,,,
6606,,,
6607,,,
6608,,,
6609,,,
6610,,,
6611,,,
6612,,,
6613,,,
6614,,,
6615,,,
6616,,,
6617,,,
6618,,,
6619,,,
6620,,,
6621,,,
6622,,,
6623,,,
6624,,,
6625,,,
6626,,,
6627,,,
6628,,,
6629,,,
6630,,,
6631,,,
6632,,,
6633,,,
6634,,,
6635,,,
6636,,,
6637,,,
6638,,,
6639,,,
6640,,,
6641,,,
6642,,,
6643,,,
6644,,,
6645,,,
6646,,,
6647,,,
6648,,,
6649,,,
6650,,,
6651,,,
6652,,,
6653,,,
6654,,,
6655,,,
6656,,,
6657,,,
6658,,,
6659,,,
6660,,,
6661,,,
6662,,,
6663,,,
6664,,,
6665,,,
6666,,,
6667,,,
6668,,,
6669,,,
6670,,,
6671,,,
6672,,,
6673,,,
6674,,,
6675,,,
6676,,,
6677,,,
6678,,,
6679,,,
6680,,,
6681,,,
6682,,,
6683,,,
6684,,,
6685,,,
6686,,,
6687,,,
6688,,,
6689,,,
6690,,,
6691,,,
6692,,,
6693,,,
6694,,,
6695,,,
6696,,,
6697,,,
6698,,,
6699,,,
6700,,,
6701,,,
6702,,,
6703,,,
6704,,,
6705,,,
6706,,,
6707,,,
6708,,,
6709,,,
6710,,,
6711,,,
6712,,,
6713,,,
6714,,,
6715,,,
6716,,,
6717,,,
6718,,,
6719,,,
6720,,,
6721,,,
6722,,,
6723,,,
6724,,,
6725,,,
6726,,,
6727,2.4801,1.0549,
6728,8.9188,6.4291,
6729,,,
6730,2.5009,1.3002,
6731,,,
6732,,,
6733,,,
6734,,,
6735,,,
6736,,,
6737,,,
6738,,,
6739,,,
6740,,,
6741,,,
6742,,,
6743,,,
6744,,,
6745,,,
6746,,,
6747,,,
6748,,,
6749,2.063,1.6422,
6750,,,
6751,,,
6752,,,
6753,,,
6754,6.4625,5.2539,
6755,,,
6756,,,
6757,,,
6758,,,
6759,,,
6760,,,
6761,,,
6762,,,
6763,,,
6764,,,
6765,,,
6766,,,
6767,,,
6768,,,
6769,,,
6770,,,
6771,,,
6772,,2.3948,
6773,,1.7357,
6774,,,
6775,,,
6776,,,
6777,,,
6778,,,
6779,,1.3057,
6780,,,
6781,,,
6782,,,
6783,,,
6784,,,
6785,,,
6786,,,
6787,,,
6788,,0.1763,
6789,,,
6790,,,
6791,,,
6792,,,
6793,,,
6794,,,
6795,,,
6796,2.6067,1.7392,
6797,,,
6798,,,
6799,3.6709,1.5435,
6800,,,
6801,2.5866,1.6787,
6802,,,
6803,,,
6804,,,
6805,,,
6806,,,
6807,,,
6808,4.1923,2.6313,
6809,2.2159,1.7854,
6810,,,
6811,,,
6812,,,
6813,,,
6814,,,
6815,,,
6816,,,
6817,,,
6818,,,
6819,,,
6820,,,
6821,,,
6822,,,
6823,,,
6824,,,
6825,,,
6826,,2.4855,
6827,,,
6828,,,
6829,,,
6830,1.3730000000000002,0.8559,
6831,,,
6832,,,
6833,,4.4447,
6834,,,
6835,,0.3995,
6836,,,
6837,,,
6838,,,
6839,,0.3761,
6840,,,
6841,2.0036,1.6061,
6842,,,
6843,3.9063,2.8556,
6844,,,
6845,,,
6846,,1.3118,
6847,,,
6848,1.3843,0.9734,
6849,2.5398,1.9079,
6850,2.9363,2.0717,
6851,,,
6852,4.1101,2.9922,
6853,,,
6854,,0.8307,
6855,,,
6856,1.4755,1.0993,
6857,,,
6858,,,
6859,,,
6860,,5.7046,
6861,,,
6862,,,
6863,,1.8955,
6864,,,
6865,,,
6866,,,
6867,,,
6868,,,
6869,,,
6870,,,
6871,,,
6872,,,
6873,2.176,1.5645,
6874,,,
6875,,,
6876,0.4679,0.5714,0.084
6877,,,
6878,1.3466,0.7916,
6879,,0.9903,
6880,,,
6881,,,
6882,,,
6883,,,
6884,,,
6885,,,
6886,,,
6887,3.8811,3.1882,
6888,,,
6889,,3.5806,
6890,,,
6891,,,
6892,,,
6893,,0.6459999999999999,
6894,,,
6895,2.7741,1.7591,
6896,,,
6897,,,
6898,,,
6899,,,
6900,,,
6901,,,
6902,2.0874,0.9905,
6903,,,
6904,,5.2521,
6905,,,
6906,,,
6907,,,
6908,,,
6909,,,
6910,,3.5827,
6911,,,
6912,,,
6913,,0.9671,
6914,,1.4572,
6915,,,
6916,,,
6917,,3.7569,
6918,4.8659,3.7025,
6919,1.0967,0.5683,0.241
6920,4.4738,3.3123,
6921,,,
6922,,,
6923,,,
6924,,3.1952,
6925,,,
6926,,,
6927,,,
6928,,,
6929,,,
6930,,,
6931,3.6214,2.1241,
6932,3.8036,2.5502,
6933,,,
6934,,6.3229999999999995,
6935,6.2259,5.7642,
6936,,,
6937,1.7041,1.4229,
6938,,,
6939,3.716,2.8508,
6940,,2.7796,
6941,3.282,1.8445,
6942,,,
6943,,,
6944,,,
6945,,,
6946,,0.5053,
6947,1.5673,1.1285,
6948,,,
6949,,,
6950,1.7275,1.1813,
6951,,,
6952,3.435,2.5467,
6953,3.3049,2.5236,
6954,,,
6955,,,
6956,,,
6957,,,
6958,,,
6959,,,
6960,,,
6961,,2.5167,
6962,,3.1717,
6963,0.7549,0.4559,2.04
6964,4.5069,3.4302,
6965,,,
6966,,,
6967,2.7,1.1686,
6968,2.9901,2.0052,
6969,,,
6970,,,
6971,,,
6972,,,
6973,5.2828,4.5649,
6974,5.4628,4.2594,
6975,,,
6976,,,
6977,3.395,2.48,
6978,,,
6979,,,
6980,,,
6981,,,
6982,,,
6983,,,
6984,,4.6252,
6985,,,
6986,3.7835,2.6421,
6987,,,
6988,,,
6989,,0.6213,0.096
6990,,,
6991,,,
6992,3.0057,2.2928,
6993,,,
6994,,,
6995,,,
6996,,,
6997,,,
6998,16.0712,2.2564,
6999,,,
7000,,5.6999,
7001,,,
7002,,,
7003,,,
7004,,,
7005,,,
7006,,,
7007,,0.5275,
7008,,,
7009,,,
7010,,,
7011,,,
7012,,,
7013,2.7232,1.9722,
7014,,,
7015,,,
7016,,,
7017,,,
7018,,,
7019,,,
7020,,,
7021,,,
7022,,,
7023,7.4697,5.6517,
7024,,,
7025,2.7976,2.1436,
7026,,1.6574,
7027,,,
7028,,,
7029,,,
7030,,,
7031,0.4292,0.5818,0.032
7032,,4.0822,
7033,,,
7034,,,
7035,,,
7036,,,
7037,,,
7038,,,
7039,,,
7040,,,
7041,,,
7042,,,
7043,,,
7044,,,
7045,,,
7046,,,
7047,,,
7048,,,
7049,,,
7050,,,
7051,,,
7052,,,
7053,2.6342,1.4672,
7054,,,
7055,,,
7056,3.9386,2.844,
7057,,,
7058,,,
7059,,,
7060,,,
7061,,,
7062,,,
7063,,,
7064,,,
7065,,1.4934,
7066,2.0146,0.9946,
7067,,2.5203,
7068,,,
7069,,,
7070,,0.4513,
7071,,,
7072,,,
7073,,,
7074,,,
7075,,,
7076,,,
7077,,,
7078,,,
7079,,,
7080,0.6368,0.2134,0.758
7081,,,
7082,,,
7083,,,
7084,,,
7085,,,
7086,,,
7087,3.4507,2.039,
7088,,,
7089,,,
7090,,,
7091,,,
7092,,,
7093,,,
7094,,,
7095,,,
7096,1.9678,1.6,
7097,,,
7098,,,
7099,1.8834,1.1131,
7100,,,
7101,,,
7102,,,
7103,,,
7104,1.7669,1.4122,
7105,,,
7106,,,
7107,3.9589999999999996,2.4161,
7108,3.7317,2.06,
7109,,,
7110,,,
7111,,,
7112,,,
7113,,,
7114,,,
7115,2.5821,1.4996,
7116,,,
7117,,,
7118,,,
7119,,,
7120,,,
7121,,,
7122,,,
7123,,,
7124,,,
7125,,,
7126,,,
7127,,,
7128,,,
7129,,,
7130,,,
7131,2.2955,1.589,
7132,,,
7133,,,
7134,,,
7135,,,
7136,,,
7137,,,
7138,,,
7139,,,
7140,5.2197,3.9374,
7141,,,
7142,,,
7143,,,
7144,,,
7145,,,
7146,,1.6717,
7147,,,
7148,,,
7149,,,
7150,,,
7151,,,
7152,,,
7153,,,
7154,,,
7155,,,
7156,,,
7157,,,
7158,,,
7159,,,
7160,2.4325,1.8332,
7161,,,
7162,,,
7163,,,
7164,,1.6538,
7165,,,
7166,,,
7167,,,
7168,,,
7169,3.227,2.2812,
7170,,,
7171,,,
7172,,,
7173,1.3147,0.9082,
7174,6.0163,4.8632,
7175,,,
7176,2.5114,2.016,
7177,,,
7178,2.9307,2.3954,
7179,,,
7180,3.9996,3.488,
7181,3.2199,2.1478,
7182,2.9472,2.4107,
7183,2.1189,1.6306,
7184,11.844000000000001,7.1027,
7185,2.4858,1.9527,
7186,,,
7187,0.0042,0.3516,
7188,,,
7189,,,
7190,0.8539,0.6165,0.005
7191,,0.6081,
7192,,1.7285,
7193,2.6542,1.7616,
7194,2.6002,1.6526,
7195,,,
7196,,,
7197,0.6206,0.5902,
7198,,,
7199,1.347,1.2642,
7200,7.6826,5.9419,
7201,,,
7202,,,
7203,,,
7204,,1.1532,
7205,1.8389,1.0632,
7206,1.3161,1.1667,
7207,,,
7208,,,
7209,,0.9087,
7210,,,
7211,,,
7212,4.7484,4.1427,
7213,1.7284,0.9346,
7214,,,
7215,,,
7216,,,
7217,,,
7218,,,
7219,,2.1794,
7220,,0.4761,0.057
7221,,,
7222,,0.3039,2.104
7223,,3.4659,
7224,,,
7225,,,
7226,,,
7227,,,
7228,,0.23,0.649
7229,,,
7230,,,
7231,,,
7232,2.5332,2.062,
7233,,,
7234,,,
7235,3.9694,3.3702,
7236,3.2203,2.0235,
7237,,,
7238,4.4452,2.7423,
7239,3.6957,2.1337,
7240,,,
7241,,,
7242,4.1749,2.5561,
7243,,0.201,2.028
7244,,0.6098,2.146
7245,,,
7246,3.3946,2.0798,
7247,,,
7248,1.618,0.9409,
7249,,,
7250,,,
7251,,,
7252,6.1875,5.1269,
7253,5.1503,4.186,
7254,3.7473,2.6541,
7255,4.0014,2.6911,
7256,,,
7257,,2.3922,
7258,5.8751,4.6469,
7259,5.9008,5.0889999999999995,
7260,,3.1695,
7261,2.3779,1.5131,
7262,6.1859,4.8958,
7263,,,
7264,3.8587,3.0148,
7265,,,
7266,,,
7267,1.8813,0.9763,
7268,,,
7269,,,
7270,,,
7271,,,
7272,,1.1566,
7273,,,
7274,,0.5619,0.08800000000000001
7275,,,
7276,,1.0473,
7277,,,
7278,,,
7279,,,
7280,,,
7281,,,
7282,3.1286,2.742,
7283,,,
7284,,4.0561,
7285,,,
7286,,,
7287,,5.1828,
7288,,,
7289,,,
7290,,,
7291,,,
7292,,,
7293,,,
7294,,,
7295,,,
7296,,,
7297,6.1697,4.707,
7298,,,
7299,,,
7300,6.044,4.7614,
7301,1.2528,0.8908,
7302,,,
7303,,,
7304,,,
7305,,,
7306,3.5526,2.5019,
7307,3.0481,2.542,
7308,0.0007,2.6469,
7309,2.9111,2.8238,
7310,,,
7311,2.4688,1.7131,
7312,1.7506,1.4245,
7313,,,
7314,,,
7315,,,
7316,,,
7317,4.1705,3.1727,
7318,,,
7319,1.3433,0.5151,0.049
7320,,,
7321,,,
7322,,,
7323,,,
7324,,,
7325,,,
7326,,,
7327,,1.2669,
7328,3.6109,2.5314,
7329,2.6384,1.7067,
7330,,,
7331,,,
7332,,,
7333,,,
7334,,3.3975,
7335,1.1017,0.4235,0.348
7336,,,
7337,,,
7338,,,
7339,2.6311,1.9355,
7340,,,
7341,,,
7342,,,
7343,,,
7344,,,
7345,,,
7346,3.2985,1.9354,
7347,,,
7348,,,
7349,,,
7350,,,
7351,1.7197,0.8829,
7352,4.5978,0.4458,
7353,,1.2479,
7354,,,
7355,,,
7356,4.3627,2.8125,
7357,1.7344,1.0907,
7358,,2.7689,
7359,,,
7360,1.8004,1.6398,
7361,,,
7362,,,
7363,,,
7364,,,
7365,2.0741,1.2951,
7366,,,
7367,,,
7368,,1.965,
7369,,0.9464,
7370,3.2103,1.0170000000000001,
7371,,0.5768,0.3
7372,,,
7373,2.7787,1.2401,
7374,1.4957,1.4517,
7375,,1.6285,
7376,,,
7377,3.1958,1.8604,
7378,,,
7379,,,
7380,,,
7381,,,
7382,,1.1393,
7383,2.3915,1.7358,
7384,,1.9609,
7385,,,
7386,,,
7387,,,
7388,,,
7389,,,
7390,,,
7391,,,
7392,,,
7393,,,
7394,,,
7395,,,
7396,,3.1942,
7397,3.7173,2.6614,
7398,,,
7399,2.283,1.8779,
7400,,1.2705,
7401,,0.5720000000000001,
7402,1.8556,1.3594,
7403,,,
7404,3.2235,2.7282,
7405,,1.5527,
7406,,,
7407,,4.5272,
7408,,,
7409,,4.6169,
7410,,,
7411,,5.355,
7412,,,
7413,1.2645,0.8599,
7414,3.3625,2.1187,
7415,,1.6056,
7416,5.1698,3.7391,
7417,,,
7418,,2.1175,
7419,,,
7420,,0.5002,0.056
7421,,,
7422,3.6557,1.9867,
7423,,0.894,
7424,,,
7425,,,
7426,0.4997,0.5533,0.018000000000000002
7427,,,
7428,0.885,0.5032,0.429
7429,,1.9627,
7430,,,
7431,,,
7432,,,
7433,,,
7434,,,
7435,,,
7436,,,
7437,,2.9015,
7438,,,
7439,,,
7440,,,
7441,,,
7442,,,
7443,,,
7444,,,
7445,,,
7446,,,
7447,,,
7448,,,
7449,,,
7450,,,
7451,,,
7452,2.2381,0.8805,0.003
7453,,,
7454,,1.4195,
7455,5.082,3.2119999999999997,
7456,,,
7457,,,
7458,1.4786,1.1254,
7459,,,
7460,,0.7959,
7461,1.3434,0.5559,0.02
7462,,,
7463,,,
7464,2.6538,1.6593,
7465,2.086,1.4169,
7466,2.126,1.4665,
7467,,,
7468,,,
7469,,,
7470,,,
7471,,,
7472,,,
7473,,4.2875,
7474,,,
7475,,0.2855,0.158
7476,,,
7477,2.218,1.3706,
7478,,,
7479,,,
7480,,,
7481,,,
7482,,1.6173,
7483,,,
7484,,,
7485,,1.8024,
7486,11.427,3.7635,
7487,,1.5328,
7488,,1.8539,
7489,1.712,1.5374,
7490,,,
7491,,1.6891,
7492,2.3819,1.6648,
7493,,,
7494,,1.5381,
7495,5.9156,0.7732,
7496,,,
7497,,1.5817,
7498,,,
7499,,,
7500,4.8894,2.7721,
7501,3.2189,2.7016,
7502,,,
7503,6.7375,1.6085,
7504,,,
7505,,,
7506,,1.2191,
7507,,,
7508,2.7243,2.5527,
7509,,,
7510,,,
7511,,,
7512,1.0154,0.9782,
7513,,,
7514,4.8584,3.6863,
7515,4.8043,3.435,
7516,,,
7517,,,
7518,,,
7519,,1.6148,
7520,,,
7521,,,
7522,2.5925,1.6335,
7523,,,
7524,,,
7525,,,
7526,1.3401,0.3943,0.306
7527,,,
7528,,,
7529,,,
7530,,,
7531,6.8501,5.7629,
7532,,,
7533,,,
7534,5.0068,3.6046,
7535,,5.9823,
7536,,,
7537,,,
7538,,,
7539,2.9213,2.1941,
7540,2.1664,1.1411,
7541,,,
7542,,,
7543,,,
7544,,,
7545,8.0315,6.6902,
7546,,,
7547,,,
7548,,,
7549,,,
7550,,,
7551,,,
7552,1.1405,0.3401,0.05
7553,3.4973,2.4603,
7554,,,
7555,,0.2869,0.293
7556,1.5832,1.0391,
7557,1.6322,1.5457,
7558,,,
7559,,,
7560,,,
7561,,,
7562,2.1069,1.6088,
7563,,,
7564,,,
7565,,,
7566,5.8468,4.5747,
7567,,4.284,
7568,2.2145,1.5509,
7569,,1.7216,
7570,,,
7571,,,
7572,3.4809,2.2581,
7573,3.6525,3.1518,
7574,,,
7575,,,
7576,,,
7577,,,
7578,,,
7579,7.0401,5.4849,
7580,,,
7581,4.7789,2.7001,
7582,,,
7583,,,
7584,,4.9192,
7585,,0.2337,
7586,,,
7587,3.072,2.4055,0.02
7588,2.0037,1.4992,
7589,,,
7590,,,
7591,1.0384,0.9419,
7592,,1.8152,
7593,,,
7594,2.3847,1.6074,
7595,,,
7596,,3.9455,
7597,,,
7598,,5.0213,
7599,,1.6557,
7600,,,
7601,,,
7602,,,
7603,,,
7604,,,
7605,,,
7606,,0.5625,
7607,4.9875,3.0705,
7608,,,
7609,,,
7610,3.0625,2.1139,
7611,,,
7612,,,
7613,,,
7614,,1.4380000000000002,
7615,,,
7616,,,
7617,,,
7618,5.7648,4.8045,
7619,,4.6716,
7620,4.5336,2.2923,
7621,,,
7622,3.7503,2.1903,
7623,,,
7624,,,
7625,4.7035,2.2609,
7626,4.1244,2.7499,
7627,,,
7628,,,
7629,3.8453,2.7576,
7630,,,
7631,,,
7632,,,
7633,,,
7634,,,
7635,2.8926,1.0019,
7636,3.8396,1.9378,
7637,,,
7638,,,
7639,,,
7640,,,
7641,,,
7642,,,
7643,,,
7644,,,
7645,,,
7646,4.4041,3.3666,
7647,7.9298,5.1683,
7648,6.0096,3.6301,
7649,,,
7650,,,
7651,,,
7652,,,
7653,2.9749,1.9931,
7654,1.1702,0.9797,
7655,,,
7656,,,
7657,,,
7658,,,
7659,,,
7660,1.5306,1.0496,
7661,,,
7662,,,
7663,3.3823,2.4672,
7664,,,
7665,2.5631,1.9558,
7666,,,
7667,,,
7668,,,
7669,,,
7670,,,
7671,,,
7672,,,
7673,,,
7674,,,
7675,,2.0877,
7676,,1.3662,
7677,1.9876,1.4587,
7678,,,
7679,,,
7680,,,
7681,,,
7682,2.3529,1.7998,
7683,2.3845,1.6505,
7684,,,
7685,,,
7686,,,
7687,,,
7688,,0.9976,
7689,,,
7690,,,
7691,,0.4997,0.532
7692,,,
7693,,,
7694,,3.3959,
7695,,,
7696,,,
7697,4.2699,2.5043,
7698,,,
7699,,,
7700,1.3426,1.1638,
7701,2.8755,1.4609,
7702,,,
7703,,1.4425,
7704,,,
7705,,,
7706,,2.5478,
7707,,,
7708,,6.0677,
7709,3.3378,2.2341,
7710,,,
7711,,,
7712,,,
7713,,,
7714,,,
7715,2.4086,1.7412,
7716,,,
7717,,0.9506,
7718,,,
7719,,,
7720,,,
7721,2.6472,1.6921,
7722,2.4019999999999997,1.2804,
7723,,,
7724,,4.4638,
7725,,1.9573,
7726,,,
7727,,,
7728,,,
7729,,,
7730,,,
7731,5.874,3.803,
7732,,,
7733,,,
7734,,,
7735,,,
7736,,,
7737,,,
7738,,2.3821,
7739,,,
7740,,,
7741,4.3186,1.9843,
7742,,,
7743,,,
7744,,,
7745,3.4026,2.0638,
7746,,1.0489,
7747,,,
7748,,,
7749,,,
7750,,,
7751,1.7246,0.9578,
7752,1.8882,1.2213,
7753,,,
7754,1.8497,1.3893,
7755,,,
7756,,4.0812,
7757,2.6807,1.9713,
7758,,,
7759,,,
7760,,,
7761,,,
7762,,,
7763,,,
7764,1.6205,1.0395,
7765,1.5942,0.8728,
7766,,,
7767,,,
7768,,,
7769,,,
7770,,,
7771,,,
7772,,1.3893,
7773,,,
7774,,,
7775,,,
7776,,0.3834,0.315
7777,,,
7778,,,
7779,3.5937,2.7708,
7780,3.0872,2.5766,
7781,2.1685,0.9581,
7782,,,
7783,,,
7784,,,
7785,0.8863,0.6979,
7786,4.3713,3.6822,
7787,,,
7788,,,
7789,1.8415,1.2169,
7790,,,
7791,,,
7792,,,
7793,,4.6016,
7794,,1.1251,
7795,2.5286,1.5975,
7796,,,
7797,,,
7798,2.5980000000000003,2.1355,
7799,,,
